iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9
1,230.99655962724222,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
2,267.10051414802643,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
3,426.1282101309874,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
4,255.0755288702705,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
5,295.4704495493464,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
6,262.123745827017,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
7,283.5171312872725,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
8,349.22588178217404,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
9,314.2979957229873,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
10,236.02766067639217,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
11,421.65077306643263,230.99655962724222,0,91,2,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.5368843883510042,0.1115027331315478,1,15,4
12,202.75645441660328,202.75645441660328,11,73,4,0.3330213877829554,0.8799515012661817,0.4052677309039371,0.5277609713982586,0.38820592748590743,2,15,1
13,227.59931285721336,202.75645441660328,11,73,4,0.3330213877829554,0.8799515012661817,0.4052677309039371,0.5277609713982586,0.38820592748590743,2,15,1
14,268.2538513726751,202.75645441660328,11,73,4,0.3330213877829554,0.8799515012661817,0.4052677309039371,0.5277609713982586,0.38820592748590743,2,15,1
