iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9
1,308.8520088007773,308.8520088007773,0,275,8,0.6424870384644795,0.5903948646972071,0.4812893194050143,0.6813047017599905,0.49382849013642327,3,15,1
2,232.62207026655065,232.62207026655065,1,396,6,0.6112401049845391,0.933036974463395,0.16393245237809825,0.17841636973138664,0.11819655769629316,3,12,4
3,236.29813130468023,232.62207026655065,1,396,6,0.6112401049845391,0.933036974463395,0.16393245237809825,0.17841636973138664,0.11819655769629316,3,12,4
4,241.63070973179555,232.62207026655065,1,396,6,0.6112401049845391,0.933036974463395,0.16393245237809825,0.17841636973138664,0.11819655769629316,3,12,4
5,421.1207334924726,232.62207026655065,1,396,6,0.6112401049845391,0.933036974463395,0.16393245237809825,0.17841636973138664,0.11819655769629316,3,12,4
6,78475.84231029538,232.62207026655065,1,396,6,0.6112401049845391,0.933036974463395,0.16393245237809825,0.17841636973138664,0.11819655769629316,3,12,4
7,261.29388930982856,232.62207026655065,1,396,6,0.6112401049845391,0.933036974463395,0.16393245237809825,0.17841636973138664,0.11819655769629316,3,12,4
8,371.44203873107523,232.62207026655065,1,396,6,0.6112401049845391,0.933036974463395,0.16393245237809825,0.17841636973138664,0.11819655769629316,3,12,4
9,207.76892070779994,207.76892070779994,8,159,5,0.15773274671390594,0.7232249074330178,0.6099413087859177,0.3388505418455009,0.5709232481200297,0,10,4
10,218.29327390696446,207.76892070779994,8,159,5,0.15773274671390594,0.7232249074330178,0.6099413087859177,0.3388505418455009,0.5709232481200297,0,10,4
11,406.8764993149467,207.76892070779994,8,159,5,0.15773274671390594,0.7232249074330178,0.6099413087859177,0.3388505418455009,0.5709232481200297,0,10,4
12,201.28458887282522,201.28458887282522,11,188,10,0.15984524334122602,0.8150964653794701,0.46702245480031657,0.37650710611804383,0.5091189803703394,1,11,3
13,197.76577103865816,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
14,206.64776837727828,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
15,233.24254763171677,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
16,304.34362838702583,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
17,230.28458480722347,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
18,217.74326849653417,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
19,216.14177186482775,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
20,239.1595919205925,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
21,222.49763975005035,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
22,202.66293343877237,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
23,197.77019977853615,197.76577103865816,12,225,10,0.2961964414235423,0.9737102747787998,0.5718249987191494,0.4266340529343156,0.45123535154828964,1,10,3
24,195.5449328887537,195.5449328887537,23,276,9,0.10248350050209981,0.8187174354473763,0.6415377522897112,0.7730726833744543,0.5119365747312687,1,11,3
25,191.2330856344915,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
26,227.08464635821724,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
27,234.4439576345868,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
28,224.49693533360815,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
29,198.69834473022306,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
30,213.23915777294346,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
31,239.00509681493153,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
32,197.85853163637344,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
33,193.70387588715403,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
34,203.3802876464771,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
35,273.814834313952,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
36,208.43869687870892,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
37,204.90736078500623,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
38,242.93051627101764,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
39,250.29650694156823,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
40,265.1739396761549,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
41,260.9066623605682,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
42,201.80841355127174,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
43,203.16993775445667,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
44,196.73700230973438,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
45,250.2045463696592,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
46,251.4219804580498,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
47,203.40100427934564,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
48,210.08113530881266,191.2330856344915,24,270,9,0.10143525439914909,0.708425635920725,0.6590690347533122,0.7759246542355318,0.3378150901890821,1,8,2
