iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9
1,246.35306413280532,246.35306413280532,0,78,8,0.3369835136666212,0.580365454042268,0.11311746623687771,0.9268723072898964,0.910643368705311,0,15,0
2,336.97245329849716,246.35306413280532,0,78,8,0.3369835136666212,0.580365454042268,0.11311746623687771,0.9268723072898964,0.910643368705311,0,15,0
3,255.523514911695,246.35306413280532,0,78,8,0.3369835136666212,0.580365454042268,0.11311746623687771,0.9268723072898964,0.910643368705311,0,15,0
4,228.48310380184662,228.48310380184662,3,352,4,0.4011827761954502,0.980252271114867,0.6621239005618171,0.9552821722295728,0.7907280855584399,3,7,2
5,205.0903059733685,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
6,306.9314273152791,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
7,225.06975747252167,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
8,341.4804567165143,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
9,355.0983176955552,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
10,350.81173661593976,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
11,207.23096799456235,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
12,211.30511314770186,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
13,235.78700328747436,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
14,205.28728192764493,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
15,255.90322960582304,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
16,232.7249539891051,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
17,248.11959209805298,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
18,246.37011223440092,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
19,255.61559892437072,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
20,209.31420872501494,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
21,244.5627922754418,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
22,210.66727345710842,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
23,211.6973742744532,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
24,225.4314557146189,205.0903059733685,4,201,10,0.2598077583441004,0.9663372127250652,0.4773252432331956,0.4816472018958988,0.5168339827546113,1,8,0
25,199.17802783119112,199.17802783119112,24,185,9,0.18351995468491333,0.7483144023619852,0.5765981249729646,0.4866668726696899,0.5039504073056421,1,8,2
26,198.1226306213745,198.1226306213745,25,254,9,0.19804111794232487,0.7520688818749548,0.6053130773567383,0.4945799410136555,0.5305325837627195,1,8,2
27,231.47843263017592,198.1226306213745,25,254,9,0.19804111794232487,0.7520688818749548,0.6053130773567383,0.4945799410136555,0.5305325837627195,1,8,2
28,197.38634659017828,197.38634659017828,27,231,9,0.20085758966904638,0.8227117654927736,0.7787890536363926,0.4347648472362692,0.5054744516632754,1,5,2
