datetime,power,GHI,DHI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,hour_cos,hour_sin,zenith_cos,zenith_sin,azimuth_cos,azimuth_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin
6/1/2020 23:00,-0.767628051,-0.897861707,-0.781912107,-1.018051576,-0.971079341,-1.013743726,-0.151625452,1.366515975,-0.365739336,-1.563278392,-0.091300561,-0.928588893,-1.139151189,-0.617007319,-0.274117162,-0.041590117,0.136370911,-1.329144182,-0.494141741
6/2/2020 0:00,-0.774658689,-0.914328235,-0.874735201,-1.018051576,-1.459301703,-1.668435004,-0.151625452,1.41472163,0.000153319,1.180121321,-0.593278973,0.496242237,-1.359836103,-0.767628051,-0.617007319,-0.274117079,-0.041561508,1.402246904,-0.038521671
6/2/2020 1:00,-0.774658689,-0.914328235,-0.894699894,-1.072396639,-1.711121658,-1.407126555,-0.151625452,1.366515975,0.366045973,1.115382252,0.761269658,1.344427478,0.163470368,-0.774658689,-0.767628051,-0.617007218,-0.274084046,1.384248532,-0.223185656
6/2/2020 2:00,-0.774658689,-0.914328235,-0.895045367,-1.072396639,-1.865664225,-1.77778691,-0.151625452,1.225184145,0.707003648,1.330002712,-0.069510993,1.259064598,-0.563811007,-0.774658689,-0.774658689,-0.767627942,-0.616967661,-1.331549965,0.501309994
6/2/2020 3:00,-0.774658689,-0.914328235,-0.893845303,-1.072396639,-2.016903032,-1.96240701,-0.151625452,1.000357673,0.99979064,-1.081158633,-1.010144163,0.958410537,0.971117646,-0.774658689,-0.774658689,-0.77465858,-0.767585519,1.015171913,0.982252787
6/2/2020 4:00,-0.773143758,-0.912081817,-0.838715113,-1.072396639,-2.117851264,-1.655653613,-0.151625452,0.707358109,1.224454002,1.262192723,0.459064297,-0.073505876,1.400957402,-0.774658689,-0.774658689,-0.77465858,-0.774616024,0.357529992,1.375180968
6/2/2020 5:00,-0.739995317,-0.771745529,-0.689634497,-1.072396639,-2.117117095,-1.642872221,-0.151625452,0.36615289,1.365683295,-0.327254682,1.403212184,-0.693389031,1.23342049,-0.773143758,-0.774658689,-0.77465858,-0.774616024,-0.155257942,1.416027589
6/2/2020 6:00,-0.654584462,-0.513774728,-0.549936195,-1.072396639,-1.622654297,-1.44547073,-0.151625452,-5.41E-06,1.413853977,-0.950695948,1.166013241,-0.94233457,1.059525962,-0.739995317,-0.773143758,-0.77465858,-0.774616024,0.648275284,1.260903583
6/2/2020 7:00,-0.560990457,-0.060387212,-0.312669094,-1.072396639,-1.257405237,-1.040726664,-0.151625452,-0.366163715,1.365683295,-0.738794876,1.284048419,-1.138005447,0.849794718,-0.654584462,-0.739995317,-0.773143648,-0.774616024,1.172172281,-0.769594124
6/2/2020 8:00,-0.227192056,0.463740853,-0.168152356,-1.072396639,-1.036787463,-0.729712803,-0.151625452,-0.707368933,1.224454002,-0.05161976,1.416362608,-1.422863681,0.146355461,-0.560990457,-0.654584462,-0.739995209,-0.773101121,1.280326224,0.58445234
6/2/2020 9:00,-0.180419913,1.028390832,-0.161933845,-1.072396639,-0.685854698,-0.849005791,-0.151625452,-1.000368497,0.99979064,0.578923199,1.247346967,-0.540742759,-1.372890353,-0.227192056,-0.560990457,-0.654584359,-0.739953312,1.220855701,-0.689310396
6/2/2020 10:00,0.437608993,1.440464428,-0.014962432,-1.072396639,-0.495704936,-0.519529919,-0.151625452,-1.22519497,0.707003648,0.585001324,1.244145737,1.00416944,0.920777854,-0.180419913,-0.227192056,-0.560990359,-0.654544088,-0.279918377,-1.38368059
6/2/2020 11:00,1.278731655,1.914962508,0.17142925,-1.072396639,-0.334554848,-0.327809046,-0.151625452,-1.3665268,0.366045973,-0.760989042,1.273761352,0.707631402,-1.247151341,0.437608993,-0.180419913,-0.227191975,-0.560951868,-1.411584497,-0.15054308
6/2/2020 12:00,1.8436624,2.222368892,0.533502955,-1.050658614,-0.17744269,-0.102004462,-0.151625452,-1.414732455,0.000153319,-0.305579951,-1.348934472,1.10735174,-0.854050242,1.278731655,0.437608993,-0.180419835,-0.227159835,1.378460148,0.269682541
6/2/2020 13:00,2.7831393,2.197867102,0.543903505,-0.931099475,-0.089709498,0.01870868,-0.151625452,-1.3665268,-0.365739336,-1.560024916,0.180171825,0.177750841,1.384150533,1.8436624,1.278731655,0.437609038,-0.180388585,0.563358517,1.302143041
6/2/2020 14:00,2.998379812,2.350090683,0.715330759,-0.882188918,0.108516122,0.431973674,-0.151625452,-1.22519497,-0.70669701,-1.105835095,-0.988673542,-1.256172106,-0.734776666,2.7831393,1.8436624,1.278731656,0.43762853,0.463640781,-1.328421844
6/2/2020 15:00,3.178846644,2.154061962,0.461790069,-0.914795956,0.183401357,0.28001713,-0.151625452,-1.000368497,-0.999484003,0.777227889,1.122293236,-0.264941844,-1.450100961,2.998379812,2.7831393,1.843662371,1.278735145,-1.029970451,-0.971335782
6/2/2020 16:00,3.002924818,2.007209623,0.306309114,-0.985444538,0.288387519,0.622274392,-0.151625452,-0.707368933,-1.224147365,1.217351048,-0.516292929,-1.403102211,-0.3337855,3.178846644,2.998379812,2.783139221,1.843655111,0.039184188,1.422872747
6/2/2020 17:00,1.402418374,1.44582127,0.8794849,-0.860450893,0.325463051,0.61233331,-0.151625452,-0.366163715,-1.365376658,1.083825812,-0.750683198,1.338544822,0.202996005,3.002924818,3.178846644,2.998379721,2.783114087,0.305783884,-1.374481519
6/2/2020 18:00,0.686584751,1.144383732,0.735731838,-0.768064286,0.28031166,0.417772128,-0.151625452,-5.41E-06,-1.413547339,1.299027453,-0.272964471,-0.327678117,1.370193555,1.402418374,3.002924818,3.178846544,2.998350492,1.082964622,0.905146419
6/2/2020 19:00,0.146688877,0.511765225,0.554013131,-1.050658614,0.242134874,0.359545788,-0.151625452,0.36615289,-1.365376658,1.274475087,0.421158209,-1.131960559,0.857693375,0.686584751,1.402418374,3.002924727,3.178813881,1.396347536,-0.130275024
