iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
1,221.8387210618531,221.8387210618531,0,350,0.14686165375401006,0.00022874963468977327,4,3.7883619255251477,24,0.1943976092638942,7,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,10
2,222.6005555096639,221.8387210618531,0,350,0.14686165375401006,0.00022874963468977327,4,3.7883619255251477,24,0.1943976092638942,7,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,10
3,467.1826322161458,221.8387210618531,0,350,0.14686165375401006,0.00022874963468977327,4,3.7883619255251477,24,0.1943976092638942,7,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,10
4,249.64069106617882,221.8387210618531,0,350,0.14686165375401006,0.00022874963468977327,4,3.7883619255251477,24,0.1943976092638942,7,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,10
5,192.42980063884187,192.42980063884187,4,646,0.12843842200044253,0.031642485693112565,10,14.127041432821555,255,0.18061710326187527,3,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,10
6,254.8280350238292,192.42980063884187,4,646,0.12843842200044253,0.031642485693112565,10,14.127041432821555,255,0.18061710326187527,3,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,10
7,231.43801783879292,192.42980063884187,4,646,0.12843842200044253,0.031642485693112565,10,14.127041432821555,255,0.18061710326187527,3,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,10
8,269.07245983432307,192.42980063884187,4,646,0.12843842200044253,0.031642485693112565,10,14.127041432821555,255,0.18061710326187527,3,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,10
9,221.81809974808255,192.42980063884187,4,646,0.12843842200044253,0.031642485693112565,10,14.127041432821555,255,0.18061710326187527,3,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,10
10,190.52622238756868,190.52622238756868,9,394,0.12383095845271688,0.031066551101671447,6,9.239850630799708,206,0.32209235506441924,18,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,12
11,211.23122266036546,190.52622238756868,9,394,0.12383095845271688,0.031066551101671447,6,9.239850630799708,206,0.32209235506441924,18,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,12
12,192.8943989538205,190.52622238756868,9,394,0.12383095845271688,0.031066551101671447,6,9.239850630799708,206,0.32209235506441924,18,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,12
13,190.58142920490445,190.52622238756868,9,394,0.12383095845271688,0.031066551101671447,6,9.239850630799708,206,0.32209235506441924,18,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,12
14,199.78343933990274,190.52622238756868,9,394,0.12383095845271688,0.031066551101671447,6,9.239850630799708,206,0.32209235506441924,18,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,12
15,190.06255310828104,190.06255310828104,14,301,0.08497074509132631,0.352557960883196,3,8.325037235794827,211,0.42004087291686043,14,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,6
16,181.2617897019791,181.2617897019791,15,291,0.08265185179359354,0.6947484992568691,6,8.34909542166124,170,0.45324767255033416,14,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,11
