iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
1,301.11894900771887,301.11894900771887,0,106,0.10535617250826036,0.9915465862682922,2,3.7001106236362324,56,0.42432309870534796,5,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,12
2,193.17424769597736,193.17424769597736,1,690,0.04223088894091575,1.0421694229195946,10,13.341268800049047,220,0.9711375519693229,4,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,10
3,516.4275628171836,193.17424769597736,1,690,0.04223088894091575,1.0421694229195946,10,13.341268800049047,220,0.9711375519693229,4,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,10
4,228.5110974037879,193.17424769597736,1,690,0.04223088894091575,1.0421694229195946,10,13.341268800049047,220,0.9711375519693229,4,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,10
5,224.3927014111257,193.17424769597736,1,690,0.04223088894091575,1.0421694229195946,10,13.341268800049047,220,0.9711375519693229,4,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,10
6,185.0890409511765,185.0890409511765,5,285,0.07438909356191693,1.4617636228939335,8,14.781629515458786,228,0.7194825965195387,14,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,10
7,206.85062311699232,185.0890409511765,5,285,0.07438909356191693,1.4617636228939335,8,14.781629515458786,228,0.7194825965195387,14,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,10
8,189.32391502751324,185.0890409511765,5,285,0.07438909356191693,1.4617636228939335,8,14.781629515458786,228,0.7194825965195387,14,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,10
9,272.3223478001576,185.0890409511765,5,285,0.07438909356191693,1.4617636228939335,8,14.781629515458786,228,0.7194825965195387,14,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,10
10,238.61480097283948,185.0890409511765,5,285,0.07438909356191693,1.4617636228939335,8,14.781629515458786,228,0.7194825965195387,14,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,10
11,213.8117541820162,185.0890409511765,5,285,0.07438909356191693,1.4617636228939335,8,14.781629515458786,228,0.7194825965195387,14,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,10
12,191.6886713080505,185.0890409511765,5,285,0.07438909356191693,1.4617636228939335,8,14.781629515458786,228,0.7194825965195387,14,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,10
13,283.1759522535924,185.0890409511765,5,285,0.07438909356191693,1.4617636228939335,8,14.781629515458786,228,0.7194825965195387,14,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,10
14,184.12341008965817,184.12341008965817,13,517,0.07070489669494877,1.1404820665525284,4,9.23078479348084,175,0.8275994688546011,16,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,12
15,194.30934145032296,184.12341008965817,13,517,0.07070489669494877,1.1404820665525284,4,9.23078479348084,175,0.8275994688546011,16,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,12
16,181.6660965988765,181.6660965988765,15,686,0.07912690024732755,0.6859690488743206,4,9.902920358978758,173,0.5790855667598036,16,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,14
17,183.54008384381328,181.6660965988765,15,686,0.07912690024732755,0.6859690488743206,4,9.902920358978758,173,0.5790855667598036,16,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,14
18,197.4173674373573,181.6660965988765,15,686,0.07912690024732755,0.6859690488743206,4,9.902920358978758,173,0.5790855667598036,16,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,14
19,186.88090389521295,181.6660965988765,15,686,0.07912690024732755,0.6859690488743206,4,9.902920358978758,173,0.5790855667598036,16,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,14
20,181.81309569997558,181.6660965988765,15,686,0.07912690024732755,0.6859690488743206,4,9.902920358978758,173,0.5790855667598036,16,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,14
21,196.63509515370833,181.6660965988765,15,686,0.07912690024732755,0.6859690488743206,4,9.902920358978758,173,0.5790855667598036,16,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,14
22,181.3506383370622,181.3506383370622,21,630,0.15206700720486702,0.3658010706327897,4,11.671261523131086,157,0.6137820227428984,11,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,12
23,192.63532767508062,181.3506383370622,21,630,0.15206700720486702,0.3658010706327897,4,11.671261523131086,157,0.6137820227428984,11,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,12
24,191.4839167789581,181.3506383370622,21,630,0.15206700720486702,0.3658010706327897,4,11.671261523131086,157,0.6137820227428984,11,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,12
25,186.73183379799076,181.3506383370622,21,630,0.15206700720486702,0.3658010706327897,4,11.671261523131086,157,0.6137820227428984,11,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,12
26,186.086628321149,181.3506383370622,21,630,0.15206700720486702,0.3658010706327897,4,11.671261523131086,157,0.6137820227428984,11,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,12
