iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
1,220.55098211287418,220.55098211287418,0,408,0.1569013598950664,1.7408553714496253,1,6.884982584598879,245,0.5179855451452082,7,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,9
2,206.20939323758043,206.20939323758043,1,521,0.13483001128110986,0.3640155154237885,4,17.863211681495738,22,0.749098478939004,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,7
3,214.0274033781137,206.20939323758043,1,521,0.13483001128110986,0.3640155154237885,4,17.863211681495738,22,0.749098478939004,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,7
4,341.3717233142739,206.20939323758043,1,521,0.13483001128110986,0.3640155154237885,4,17.863211681495738,22,0.749098478939004,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,7
5,285.9121447609145,206.20939323758043,1,521,0.13483001128110986,0.3640155154237885,4,17.863211681495738,22,0.749098478939004,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,7
6,214.59157651212757,206.20939323758043,1,521,0.13483001128110986,0.3640155154237885,4,17.863211681495738,22,0.749098478939004,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,7
7,290.1362758488223,206.20939323758043,1,521,0.13483001128110986,0.3640155154237885,4,17.863211681495738,22,0.749098478939004,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,7
8,262.99095861444516,206.20939323758043,1,521,0.13483001128110986,0.3640155154237885,4,17.863211681495738,22,0.749098478939004,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,7
9,195.42852759303392,195.42852759303392,8,517,0.027455324482475,1.7596967162275752,5,11.721894595753794,108,0.8050350219887054,7,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,6
10,394.41940121248587,195.42852759303392,8,517,0.027455324482475,1.7596967162275752,5,11.721894595753794,108,0.8050350219887054,7,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,6
11,197.09104495388436,195.42852759303392,8,517,0.027455324482475,1.7596967162275752,5,11.721894595753794,108,0.8050350219887054,7,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,6
12,198.41816107745382,195.42852759303392,8,517,0.027455324482475,1.7596967162275752,5,11.721894595753794,108,0.8050350219887054,7,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,6
13,198.64360136157688,195.42852759303392,8,517,0.027455324482475,1.7596967162275752,5,11.721894595753794,108,0.8050350219887054,7,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,6
14,209.78291828568868,195.42852759303392,8,517,0.027455324482475,1.7596967162275752,5,11.721894595753794,108,0.8050350219887054,7,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,6
15,198.9996096441152,195.42852759303392,8,517,0.027455324482475,1.7596967162275752,5,11.721894595753794,108,0.8050350219887054,7,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,6
16,207.7194746719901,195.42852759303392,8,517,0.027455324482475,1.7596967162275752,5,11.721894595753794,108,0.8050350219887054,7,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,6
17,198.87924438751926,195.42852759303392,8,517,0.027455324482475,1.7596967162275752,5,11.721894595753794,108,0.8050350219887054,7,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,6
