iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
1,178.1040329602111,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
2,289.508684306673,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
3,246.44365759623295,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
4,251.97747873681263,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
5,278.6719974099827,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
6,416.65865647729487,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
7,210.43328191550356,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
8,298.47530868253676,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
9,193.5423669650313,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
10,244.1214585540676,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
11,195.9473731217514,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
12,184.46367470558206,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
13,192.0379637568609,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
14,178.35043339950792,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
15,181.06154039191992,178.1040329602111,0,567,0.05513283180663334,1.648557065322737,10,19.479421164192974,116,0.6129520381336652,16,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,6
16,175.8736076435327,175.8736076435327,15,692,0.01964007800917661,1.5921562757348668,10,19.940059781243843,58,0.9088766021806763,9,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,10
17,180.95973598611076,175.8736076435327,15,692,0.01964007800917661,1.5921562757348668,10,19.940059781243843,58,0.9088766021806763,9,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,10
18,191.4847114796624,175.8736076435327,15,692,0.01964007800917661,1.5921562757348668,10,19.940059781243843,58,0.9088766021806763,9,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,10
19,179.74684753934207,175.8736076435327,15,692,0.01964007800917661,1.5921562757348668,10,19.940059781243843,58,0.9088766021806763,9,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,10
