iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
27,193.0774702998695,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
28,189.99614151652423,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
29,193.4333257339331,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
30,229.23011951295484,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
31,202.84118379447682,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
32,189.39811498916,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
33,194.21702101834194,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
34,193.26457921203996,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
35,203.63604306094248,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
36,207.60163426952354,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
37,199.95792466499452,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
38,207.70110905969574,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
39,199.25650694028135,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
40,179.30146397026908,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
41,266.9642526895207,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
42,200.42065675890169,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
43,191.3626724654138,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
44,179.98248761864048,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
45,198.57158787656334,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
46,191.6855500620589,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
47,183.23084416900272,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
48,187.53113314597158,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
49,181.34523074264538,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
50,182.7283103523238,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
51,181.49491288960976,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
52,190.08358026666124,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
53,187.9796786987133,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
54,185.4912184023785,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
55,186.8202643874646,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
56,191.31984601706796,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
57,184.76683829125662,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
58,185.33583223401413,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
59,196.2047975293225,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
60,189.17614617008493,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
