iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
1,261.76145808258696,261.76145808258696,0,208,0.01370029588264867,0.9264370529966892,8,8.98386848716682,124,0.022653006444702563,10,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,8
2,208.52068561074657,208.52068561074657,1,528,0.12391324528895455,0.11134735917015681,5,8.631853131982393,217,0.72067068754648,13,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,9
3,278.43919793224853,208.52068561074657,1,528,0.12391324528895455,0.11134735917015681,5,8.631853131982393,217,0.72067068754648,13,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,9
4,206.08398207673847,206.08398207673847,3,111,0.15433339883491298,0.9055183289839952,7,15.05907883816,107,0.37394144881697344,4,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,11
5,567.1029351642346,206.08398207673847,3,111,0.15433339883491298,0.9055183289839952,7,15.05907883816,107,0.37394144881697344,4,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,11
6,202.16538789268793,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
7,356.6268354820922,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
8,255.5930821378118,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
9,257.23336983008915,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
10,226.70018588369405,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
11,228.9771830596278,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
12,218.2708345322704,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
13,205.25707866530956,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
14,216.68085686811665,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
15,219.42908994273154,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
16,350.54388234146904,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
17,210.83154122561515,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
18,294.4458960534909,202.16538789268793,5,605,0.03413916961116587,1.1130422117434882,4,18.324114201243507,80,0.9314582632346766,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,12
