iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7
1,272.7275763061736,272.7275763061736,0,624,0.19402272593597708,1.73838908042784,6,5.421838231568524,3,0.4361641301095656,9
2,191.4913693767461,191.4913693767461,1,414,0.10089444120245646,1.1107129476446609,6,15.457015936455651,182,0.6234852751424053,9
3,193.45467181175707,191.4913693767461,1,414,0.10089444120245646,1.1107129476446609,6,15.457015936455651,182,0.6234852751424053,9
4,199.78561520448068,191.4913693767461,1,414,0.10089444120245646,1.1107129476446609,6,15.457015936455651,182,0.6234852751424053,9
5,189.08387744202415,189.08387744202415,4,328,0.15519042495953242,1.8776078266215435,4,9.2170427230179,69,0.8030453274631305,13
6,321.1518585079388,189.08387744202415,4,328,0.15519042495953242,1.8776078266215435,4,9.2170427230179,69,0.8030453274631305,13
7,195.86815456893376,189.08387744202415,4,328,0.15519042495953242,1.8776078266215435,4,9.2170427230179,69,0.8030453274631305,13
8,196.85958837619606,189.08387744202415,4,328,0.15519042495953242,1.8776078266215435,4,9.2170427230179,69,0.8030453274631305,13
9,232.6987181865564,189.08387744202415,4,328,0.15519042495953242,1.8776078266215435,4,9.2170427230179,69,0.8030453274631305,13
10,191.43385252762005,189.08387744202415,4,328,0.15519042495953242,1.8776078266215435,4,9.2170427230179,69,0.8030453274631305,13
11,311.0096513261683,189.08387744202415,4,328,0.15519042495953242,1.8776078266215435,4,9.2170427230179,69,0.8030453274631305,13
12,195.920982699251,189.08387744202415,4,328,0.15519042495953242,1.8776078266215435,4,9.2170427230179,69,0.8030453274631305,13
13,186.2701249350233,186.2701249350233,12,272,0.07012179585640757,1.997378941679849,3,18.68546425579892,106,0.7980253564080328,15
14,191.84765766260546,186.2701249350233,12,272,0.07012179585640757,1.997378941679849,3,18.68546425579892,106,0.7980253564080328,15
15,191.38820642618472,186.2701249350233,12,272,0.07012179585640757,1.997378941679849,3,18.68546425579892,106,0.7980253564080328,15
16,191.81477080999426,186.2701249350233,12,272,0.07012179585640757,1.997378941679849,3,18.68546425579892,106,0.7980253564080328,15
17,223.5012362821555,186.2701249350233,12,272,0.07012179585640757,1.997378941679849,3,18.68546425579892,106,0.7980253564080328,15
18,188.23724708253812,186.2701249350233,12,272,0.07012179585640757,1.997378941679849,3,18.68546425579892,106,0.7980253564080328,15
19,237.5877779078764,186.2701249350233,12,272,0.07012179585640757,1.997378941679849,3,18.68546425579892,106,0.7980253564080328,15
20,191.32153818255065,186.2701249350233,12,272,0.07012179585640757,1.997378941679849,3,18.68546425579892,106,0.7980253564080328,15
21,184.49598722871505,184.49598722871505,20,361,0.04150554784785275,1.7148771613684868,5,7.877604733947846,108,0.2150163204458945,6
22,185.67857197128558,184.49598722871505,20,361,0.04150554784785275,1.7148771613684868,5,7.877604733947846,108,0.2150163204458945,6
23,187.31490639776922,184.49598722871505,20,361,0.04150554784785275,1.7148771613684868,5,7.877604733947846,108,0.2150163204458945,6
24,188.22291093075566,184.49598722871505,20,361,0.04150554784785275,1.7148771613684868,5,7.877604733947846,108,0.2150163204458945,6
25,188.012004123465,184.49598722871505,20,361,0.04150554784785275,1.7148771613684868,5,7.877604733947846,108,0.2150163204458945,6
26,184.59867602643604,184.49598722871505,20,361,0.04150554784785275,1.7148771613684868,5,7.877604733947846,108,0.2150163204458945,6
27,184.06106867503445,184.06106867503445,26,431,0.024403236902069164,1.4104838336903966,7,4.538040412262222,210,0.39526159810625694,1
28,181.68529146850483,181.68529146850483,27,565,0.010278752955428828,1.3840499912851438,8,3.378218449730333,205,0.3750162685199313,1
29,181.61625598617047,181.61625598617047,28,579,0.012321217393407996,1.1500067037224795,8,3.2933933430368043,222,0.37456685602730566,1
30,181.45378864222806,181.45378864222806,29,633,0.012587774840815646,1.1654148006360792,8,2.4450578703069303,222,0.45126652373365034,1
31,182.53580447694694,181.45378864222806,29,633,0.012587774840815646,1.1654148006360792,8,2.4450578703069303,222,0.45126652373365034,1
32,181.29166923906826,181.29166923906826,31,599,0.016379551128094832,1.2079977491326825,9,3.2307788575816794,223,0.4555278324557832,2
33,180.10058118029264,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
34,183.121714999534,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
35,186.45771773181306,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
36,182.96035304156118,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
37,185.61631663066802,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
38,186.86087454009902,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
39,183.64234107595115,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
40,184.19135073945117,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
41,185.22450668330038,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
42,184.1748083121064,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
43,184.78027629385295,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
44,181.11520891106315,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
45,180.23802793355733,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
46,181.1739725619458,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
47,185.80353824777663,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
48,181.20533353095195,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
49,183.1632624788719,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
50,206.25547749399308,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
51,189.9788580505643,180.10058118029264,32,617,0.02269956403210368,0.9672695218689848,8,3.3356534265162328,214,0.47261497747982806,1
