iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7
1,216.50192355775454,216.50192355775454,0,106,0.10535617250826036,0.9915465862682922,2,3.7001106236362324,56,0.42432309870534796,5
2,199.0067064907462,199.0067064907462,1,150,0.07564474160957602,0.33355269306464286,9,19.068316600907615,10,0.7021163174847734,12
3,187.001489525731,187.001489525731,2,639,0.13671080485473097,1.0956755660929631,8,8.343066222678642,178,0.8266217598555426,10
4,188.01063270456672,187.001489525731,2,639,0.13671080485473097,1.0956755660929631,8,8.343066222678642,178,0.8266217598555426,10
5,185.44308509551607,185.44308509551607,4,683,0.045252920517547535,0.486231350626817,9,18.219268261546645,194,0.3534329342377645,10
6,190.4552376500186,185.44308509551607,4,683,0.045252920517547535,0.486231350626817,9,18.219268261546645,194,0.3534329342377645,10
7,192.72993420541394,185.44308509551607,4,683,0.045252920517547535,0.486231350626817,9,18.219268261546645,194,0.3534329342377645,10
8,186.372125738846,185.44308509551607,4,683,0.045252920517547535,0.486231350626817,9,18.219268261546645,194,0.3534329342377645,10
9,200.00034371989491,185.44308509551607,4,683,0.045252920517547535,0.486231350626817,9,18.219268261546645,194,0.3534329342377645,10
10,184.66943839778236,184.66943839778236,9,228,0.051161545418103804,0.4646142544929972,8,8.902454673281053,149,0.49939323908137967,9
11,189.47959333609379,184.66943839778236,9,228,0.051161545418103804,0.4646142544929972,8,8.902454673281053,149,0.49939323908137967,9
12,183.44782537037594,183.44782537037594,11,284,0.05921120280232231,0.6024257500307302,7,13.847538189441432,180,0.3317150329670549,13
13,186.4411273010271,183.44782537037594,11,284,0.05921120280232231,0.6024257500307302,7,13.847538189441432,180,0.3317150329670549,13
14,192.5786237900266,183.44782537037594,11,284,0.05921120280232231,0.6024257500307302,7,13.847538189441432,180,0.3317150329670549,13
15,188.2385577087518,183.44782537037594,11,284,0.05921120280232231,0.6024257500307302,7,13.847538189441432,180,0.3317150329670549,13
16,182.7118922580941,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
17,194.68665623821053,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
18,186.30317030062434,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
19,191.3837059385083,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
20,187.26673306957164,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
21,192.94241598021603,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
22,184.98835183521427,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
23,184.29909600676947,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
24,187.8057531356894,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
25,195.74676314893082,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
26,190.7080256961885,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
27,184.33064315343458,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
28,186.71022799569235,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
29,189.32787900857772,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
30,194.29277805365976,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
31,199.6349401617776,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
32,183.10109215882883,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
33,182.95370449565988,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
34,189.18771921645111,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
35,183.6218237294112,182.7118922580941,15,200,0.05870282918656663,0.7934533923641662,7,6.470096136477308,145,0.5106305336365171,7
36,182.42700322156983,182.42700322156983,35,320,0.030559064804348585,0.6649046509465191,8,1.01678539210193,187,0.5634919768727303,17
37,181.44916250282768,181.44916250282768,36,327,0.026720651473283254,1.0637392397134893,9,1.6879187748125206,191,0.5576980358177848,20
38,182.9119785347039,181.44916250282768,36,327,0.026720651473283254,1.0637392397134893,9,1.6879187748125206,191,0.5576980358177848,20
39,180.56046857908916,180.56046857908916,38,543,0.01155519279893733,1.0717738841887345,10,1.3611607057520887,231,0.7836419948942244,20
