iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_param_26,best_param_27,best_selected_features_count
1,673.7117768061546,673.7117768061546,0,111,9,0.2860472398054838,0.9267498171441294,0.5395700699153463,0.6505694766123812,0.789317070832284,2,6,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,6
2,448.72591390607903,448.72591390607903,1,481,3,0.12187590546653827,0.2840999917419556,0.7298592527139017,0.8015631269999768,0.12063978319517334,2,2,2,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,9
3,529.348725161617,448.72591390607903,1,481,3,0.12187590546653827,0.2840999917419556,0.7298592527139017,0.8015631269999768,0.12063978319517334,2,2,2,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,9
4,260.6342085088524,260.6342085088524,3,51,5,0.5593193176053232,0.9649927737686168,0.4343613537952066,0.11113247044032189,0.8737361982893723,0,8,4,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,9
5,230.9119426410489,230.9119426410489,4,166,2,0.5740458089127323,0.6947599518625468,0.9036858649197685,0.9686417923129066,0.7929394092021832,3,11,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5
6,559.7520327778707,230.9119426410489,4,166,2,0.5740458089127323,0.6947599518625468,0.9036858649197685,0.9686417923129066,0.7929394092021832,3,11,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5
7,341.4354306726771,230.9119426410489,4,166,2,0.5740458089127323,0.6947599518625468,0.9036858649197685,0.9686417923129066,0.7929394092021832,3,11,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5
8,338.0307017250208,230.9119426410489,4,166,2,0.5740458089127323,0.6947599518625468,0.9036858649197685,0.9686417923129066,0.7929394092021832,3,11,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5
9,397.4498700609103,230.9119426410489,4,166,2,0.5740458089127323,0.6947599518625468,0.9036858649197685,0.9686417923129066,0.7929394092021832,3,11,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5
10,301.3060995161637,230.9119426410489,4,166,2,0.5740458089127323,0.6947599518625468,0.9036858649197685,0.9686417923129066,0.7929394092021832,3,11,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5
11,290.84298113784337,230.9119426410489,4,166,2,0.5740458089127323,0.6947599518625468,0.9036858649197685,0.9686417923129066,0.7929394092021832,3,11,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5
12,242.817094539202,230.9119426410489,4,166,2,0.5740458089127323,0.6947599518625468,0.9036858649197685,0.9686417923129066,0.7929394092021832,3,11,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5
13,266.1281178030571,230.9119426410489,4,166,2,0.5740458089127323,0.6947599518625468,0.9036858649197685,0.9686417923129066,0.7929394092021832,3,11,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5
14,230.40899388476518,230.40899388476518,13,186,2,0.45323157291562355,0.757468073178494,0.8510311057400072,0.6383173677648866,0.7602448466098197,0,10,3,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,8
15,261.1498628171099,230.40899388476518,13,186,2,0.45323157291562355,0.757468073178494,0.8510311057400072,0.6383173677648866,0.7602448466098197,0,10,3,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,8
16,220.0695604762552,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
17,228.8203892201531,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
18,314.2654477000086,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
19,248.02456115764969,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
20,250.27133947390234,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
21,262.9669887886168,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
22,243.9202446145869,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
23,240.72080282343444,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
24,224.07976362538795,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
25,223.51123344918142,220.0695604762552,15,226,3,0.19783682797531144,0.7759750129791608,0.8394964053531359,0.8632341079760376,0.4886806497197439,1,15,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,10
