iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_param_26,best_param_27,best_selected_features_count
1,711.8821886995067,711.8821886995067,0,389,4,0.8418506793952316,0.9691742782386997,0.975341002514404,0.508104322675581,0.6481382164851501,3,10,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,6
2,605.211411722976,605.211411722976,1,5,8,0.8315570539023611,0.16814570155504005,0.690809801137262,0.5583359800751664,0.5318950523467448,3,2,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,7
3,260.1638439403901,260.1638439403901,2,463,8,0.31389302969171495,0.6119967273009044,0.6009688462909624,0.16546348979591302,0.8557376593744638,1,4,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,9
4,348.88203201675225,260.1638439403901,2,463,8,0.31389302969171495,0.6119967273009044,0.6009688462909624,0.16546348979591302,0.8557376593744638,1,4,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,9
5,325.4664106905073,260.1638439403901,2,463,8,0.31389302969171495,0.6119967273009044,0.6009688462909624,0.16546348979591302,0.8557376593744638,1,4,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,9
6,666.2679143965063,260.1638439403901,2,463,8,0.31389302969171495,0.6119967273009044,0.6009688462909624,0.16546348979591302,0.8557376593744638,1,4,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,9
7,686.3097827540383,260.1638439403901,2,463,8,0.31389302969171495,0.6119967273009044,0.6009688462909624,0.16546348979591302,0.8557376593744638,1,4,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,9
8,520.4212631516742,260.1638439403901,2,463,8,0.31389302969171495,0.6119967273009044,0.6009688462909624,0.16546348979591302,0.8557376593744638,1,4,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,9
9,342.86775610013746,260.1638439403901,2,463,8,0.31389302969171495,0.6119967273009044,0.6009688462909624,0.16546348979591302,0.8557376593744638,1,4,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,9
10,351.1349692010279,260.1638439403901,2,463,8,0.31389302969171495,0.6119967273009044,0.6009688462909624,0.16546348979591302,0.8557376593744638,1,4,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,9
11,242.70107900503544,242.70107900503544,10,301,10,0.11287620741898363,0.702248583997957,0.5408269388593744,0.38925615408003367,0.9950312147115261,1,15,2,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
12,249.11261978477174,242.70107900503544,10,301,10,0.11287620741898363,0.702248583997957,0.5408269388593744,0.38925615408003367,0.9950312147115261,1,15,2,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
13,318.5078338638724,242.70107900503544,10,301,10,0.11287620741898363,0.702248583997957,0.5408269388593744,0.38925615408003367,0.9950312147115261,1,15,2,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
14,236.3965492911961,236.3965492911961,13,284,10,0.10188570637387516,0.7428329987744043,0.5799302039165759,0.3701850820565926,0.9823860750542551,2,15,3,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
15,347.1843454863127,236.3965492911961,13,284,10,0.10188570637387516,0.7428329987744043,0.5799302039165759,0.3701850820565926,0.9823860750542551,2,15,3,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
16,273.55133604138473,236.3965492911961,13,284,10,0.10188570637387516,0.7428329987744043,0.5799302039165759,0.3701850820565926,0.9823860750542551,2,15,3,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
17,232.67526133946606,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
18,283.8343903828541,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
19,291.62412601082946,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
20,243.0210444612463,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
21,315.80554291803253,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
22,237.22143977539218,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
23,234.39187410801642,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
24,274.11339020055226,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
25,264.19774780250526,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
26,248.37188588526033,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
27,233.6481414890188,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
28,246.42467063293637,232.67526133946606,16,225,6,0.12144490602263476,0.8634852334161519,0.6550846473043084,0.2985166412065494,0.6969792253019306,3,13,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
29,231.18823082864864,231.18823082864864,28,404,4,0.17210423077396725,0.9665349676735101,0.6424665888822783,0.5949352481322298,0.7338440946461174,2,11,2,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
30,619.2278330830117,231.18823082864864,28,404,4,0.17210423077396725,0.9665349676735101,0.6424665888822783,0.5949352481322298,0.7338440946461174,2,11,2,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
31,234.26214527756954,231.18823082864864,28,404,4,0.17210423077396725,0.9665349676735101,0.6424665888822783,0.5949352481322298,0.7338440946461174,2,11,2,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
32,244.11382668542765,231.18823082864864,28,404,4,0.17210423077396725,0.9665349676735101,0.6424665888822783,0.5949352481322298,0.7338440946461174,2,11,2,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
33,223.20021529633865,223.20021529633865,32,431,3,0.1796473749605267,0.9934776872339485,0.8368140644867937,0.5255549551259777,0.6515230281968192,3,12,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
34,241.83599848434065,223.20021529633865,32,431,3,0.1796473749605267,0.9934776872339485,0.8368140644867937,0.5255549551259777,0.6515230281968192,3,12,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
35,231.25088260395725,223.20021529633865,32,431,3,0.1796473749605267,0.9934776872339485,0.8368140644867937,0.5255549551259777,0.6515230281968192,3,12,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
36,237.83087387840013,223.20021529633865,32,431,3,0.1796473749605267,0.9934776872339485,0.8368140644867937,0.5255549551259777,0.6515230281968192,3,12,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
37,329.82013974533476,223.20021529633865,32,431,3,0.1796473749605267,0.9934776872339485,0.8368140644867937,0.5255549551259777,0.6515230281968192,3,12,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
38,223.8722861880234,223.20021529633865,32,431,3,0.1796473749605267,0.9934776872339485,0.8368140644867937,0.5255549551259777,0.6515230281968192,3,12,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
39,266.74921909418407,223.20021529633865,32,431,3,0.1796473749605267,0.9934776872339485,0.8368140644867937,0.5255549551259777,0.6515230281968192,3,12,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,8
40,213.92665395270544,213.92665395270544,39,474,3,0.4101541645716214,0.9403220672367442,0.9104374911643144,0.7293067863655296,0.8142072682559569,3,10,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,13
41,223.34331423386192,213.92665395270544,39,474,3,0.4101541645716214,0.9403220672367442,0.9104374911643144,0.7293067863655296,0.8142072682559569,3,10,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,13
42,219.93360587565633,213.92665395270544,39,474,3,0.4101541645716214,0.9403220672367442,0.9104374911643144,0.7293067863655296,0.8142072682559569,3,10,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,13
43,243.3571652070998,213.92665395270544,39,474,3,0.4101541645716214,0.9403220672367442,0.9104374911643144,0.7293067863655296,0.8142072682559569,3,10,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,13
44,220.23749214992216,213.92665395270544,39,474,3,0.4101541645716214,0.9403220672367442,0.9104374911643144,0.7293067863655296,0.8142072682559569,3,10,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,13
45,238.83724682070644,213.92665395270544,39,474,3,0.4101541645716214,0.9403220672367442,0.9104374911643144,0.7293067863655296,0.8142072682559569,3,10,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,13
46,221.05843875080052,213.92665395270544,39,474,3,0.4101541645716214,0.9403220672367442,0.9104374911643144,0.7293067863655296,0.8142072682559569,3,10,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,13
47,358.0712937324989,213.92665395270544,39,474,3,0.4101541645716214,0.9403220672367442,0.9104374911643144,0.7293067863655296,0.8142072682559569,3,10,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,13
