iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_param_26,best_param_27,best_selected_features_count
1,535.408096078123,535.408096078123,0,6,6,0.5461959638207315,0.22044657606334894,0.2278999769090847,0.2967028080634704,0.47665736245940726,0,3,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,13
2,301.78398934016985,301.78398934016985,1,261,10,0.6845864168444286,0.874748730903127,0.9737614108812026,0.26698751824101463,0.3188041077820677,3,14,3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,7
3,637.1688749513315,301.78398934016985,1,261,10,0.6845864168444286,0.874748730903127,0.9737614108812026,0.26698751824101463,0.3188041077820677,3,14,3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,7
4,345.3615236275388,301.78398934016985,1,261,10,0.6845864168444286,0.874748730903127,0.9737614108812026,0.26698751824101463,0.3188041077820677,3,14,3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,7
5,335.5635612177051,301.78398934016985,1,261,10,0.6845864168444286,0.874748730903127,0.9737614108812026,0.26698751824101463,0.3188041077820677,3,14,3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,7
6,358.97162364148136,301.78398934016985,1,261,10,0.6845864168444286,0.874748730903127,0.9737614108812026,0.26698751824101463,0.3188041077820677,3,14,3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,7
7,237.85438904341882,237.85438904341882,6,283,2,0.6763971750396698,0.7130857427270475,0.45607372759943343,0.2230057093044024,0.47481197694362387,2,10,4,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,11
8,277.73219891541777,237.85438904341882,6,283,2,0.6763971750396698,0.7130857427270475,0.45607372759943343,0.2230057093044024,0.47481197694362387,2,10,4,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,11
9,352.9372795763971,237.85438904341882,6,283,2,0.6763971750396698,0.7130857427270475,0.45607372759943343,0.2230057093044024,0.47481197694362387,2,10,4,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,11
10,270.73969862983085,237.85438904341882,6,283,2,0.6763971750396698,0.7130857427270475,0.45607372759943343,0.2230057093044024,0.47481197694362387,2,10,4,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,11
11,301.7388548370629,237.85438904341882,6,283,2,0.6763971750396698,0.7130857427270475,0.45607372759943343,0.2230057093044024,0.47481197694362387,2,10,4,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,11
12,302.3282808411453,237.85438904341882,6,283,2,0.6763971750396698,0.7130857427270475,0.45607372759943343,0.2230057093044024,0.47481197694362387,2,10,4,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,11
