iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_param_26,best_param_27,best_selected_features_count
1,285.02870502894103,285.02870502894103,0,218,2,0.5946962300908383,0.49179015335644916,0.4783310218787401,0.39730133890348673,0.28418377063405825,2,6,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,8
2,444.5756588513254,285.02870502894103,0,218,2,0.5946962300908383,0.49179015335644916,0.4783310218787401,0.39730133890348673,0.28418377063405825,2,6,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,8
3,347.4182417282855,285.02870502894103,0,218,2,0.5946962300908383,0.49179015335644916,0.4783310218787401,0.39730133890348673,0.28418377063405825,2,6,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,8
4,334.9378076514087,285.02870502894103,0,218,2,0.5946962300908383,0.49179015335644916,0.4783310218787401,0.39730133890348673,0.28418377063405825,2,6,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,8
5,437.235917128966,285.02870502894103,0,218,2,0.5946962300908383,0.49179015335644916,0.4783310218787401,0.39730133890348673,0.28418377063405825,2,6,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,8
6,408.8831757319303,285.02870502894103,0,218,2,0.5946962300908383,0.49179015335644916,0.4783310218787401,0.39730133890348673,0.28418377063405825,2,6,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,8
7,237.9907032280991,237.9907032280991,6,213,6,0.5568557380047653,0.5731599248298621,0.1381862726942915,0.24797717755310802,0.5052044616556359,2,12,3,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,8
8,528.2387848706375,237.9907032280991,6,213,6,0.5568557380047653,0.5731599248298621,0.1381862726942915,0.24797717755310802,0.5052044616556359,2,12,3,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,8
9,309.67464190856253,237.9907032280991,6,213,6,0.5568557380047653,0.5731599248298621,0.1381862726942915,0.24797717755310802,0.5052044616556359,2,12,3,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,8
10,314.314350647415,237.9907032280991,6,213,6,0.5568557380047653,0.5731599248298621,0.1381862726942915,0.24797717755310802,0.5052044616556359,2,12,3,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,8
11,549.9601195923073,237.9907032280991,6,213,6,0.5568557380047653,0.5731599248298621,0.1381862726942915,0.24797717755310802,0.5052044616556359,2,12,3,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,8
12,325.6784551176605,237.9907032280991,6,213,6,0.5568557380047653,0.5731599248298621,0.1381862726942915,0.24797717755310802,0.5052044616556359,2,12,3,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,8
