iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_param_26,best_param_27,best_selected_features_count
1,517.8894880500975,517.8894880500975,0,437,10,0.8822750861925279,0.5777701224000391,0.3094554951795616,0.11025892384968691,0.4874219364632415,1,9,2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,8
2,265.32145516934173,265.32145516934173,1,173,10,0.12585884406696587,0.41651626264310815,0.4428630002834677,0.7877441182293641,0.9449235219796945,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,9
3,698.062038565187,265.32145516934173,1,173,10,0.12585884406696587,0.41651626264310815,0.4428630002834677,0.7877441182293641,0.9449235219796945,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,9
4,408.6381741656179,265.32145516934173,1,173,10,0.12585884406696587,0.41651626264310815,0.4428630002834677,0.7877441182293641,0.9449235219796945,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,9
5,292.75438117864655,265.32145516934173,1,173,10,0.12585884406696587,0.41651626264310815,0.4428630002834677,0.7877441182293641,0.9449235219796945,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,9
6,312.03198023199985,265.32145516934173,1,173,10,0.12585884406696587,0.41651626264310815,0.4428630002834677,0.7877441182293641,0.9449235219796945,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,9
7,307.50303117003966,265.32145516934173,1,173,10,0.12585884406696587,0.41651626264310815,0.4428630002834677,0.7877441182293641,0.9449235219796945,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,9
8,328.06328187605624,265.32145516934173,1,173,10,0.12585884406696587,0.41651626264310815,0.4428630002834677,0.7877441182293641,0.9449235219796945,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,9
9,1409.882393266538,265.32145516934173,1,173,10,0.12585884406696587,0.41651626264310815,0.4428630002834677,0.7877441182293641,0.9449235219796945,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,9
10,405.21909422457253,265.32145516934173,1,173,10,0.12585884406696587,0.41651626264310815,0.4428630002834677,0.7877441182293641,0.9449235219796945,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,9
