iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_param_26,best_param_27,best_selected_features_count
1,63096.11951311042,63096.11951311042,0,447,4,0.8391062107520486,0.13752696315272492,0.19689101194237116,0.6355468577856163,0.5768356259735394,1,6,3,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,14
2,415.88612316110937,415.88612316110937,1,202,3,0.7455482618079875,0.9947866945797438,0.33005265004075157,0.7041784887453524,0.6391053218252049,2,15,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,7
3,530.324298580112,415.88612316110937,1,202,3,0.7455482618079875,0.9947866945797438,0.33005265004075157,0.7041784887453524,0.6391053218252049,2,15,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,7
4,406.2228267333532,406.2228267333532,3,257,5,0.694008836780858,0.8599846034069103,0.6434799010363951,0.6284923218781617,0.20532973198117765,2,4,2,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,10
5,316.8525733385348,316.8525733385348,4,470,9,0.7753874243687536,0.5473458782510979,0.13845925148758992,0.835180746801169,0.11226136977265519,2,9,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,5
6,271.0937416481027,271.0937416481027,5,242,7,0.9757652543913395,0.4192727765876729,0.302181070798635,0.9808424250638237,0.6283669789007315,3,15,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5
7,370.394704727296,271.0937416481027,5,242,7,0.9757652543913395,0.4192727765876729,0.302181070798635,0.9808424250638237,0.6283669789007315,3,15,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5
8,381.0149567070573,271.0937416481027,5,242,7,0.9757652543913395,0.4192727765876729,0.302181070798635,0.9808424250638237,0.6283669789007315,3,15,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5
9,277.9614133316715,271.0937416481027,5,242,7,0.9757652543913395,0.4192727765876729,0.302181070798635,0.9808424250638237,0.6283669789007315,3,15,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5
10,300.8928301883819,271.0937416481027,5,242,7,0.9757652543913395,0.4192727765876729,0.302181070798635,0.9808424250638237,0.6283669789007315,3,15,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5
11,262.1723966892248,262.1723966892248,10,352,10,0.1113254150431589,0.412670057183077,0.39336319760920874,0.9970722064598744,0.9975417083220972,3,15,3,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,6
12,261.48227082590853,261.48227082590853,11,347,10,0.10303799809689397,0.39151501852485027,0.41013048898999926,0.9799719075473585,0.9523936759635487,3,15,3,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,6
13,272.7892340135953,261.48227082590853,11,347,10,0.10303799809689397,0.39151501852485027,0.41013048898999926,0.9799719075473585,0.9523936759635487,3,15,3,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,6
14,251.23482556090022,251.23482556090022,13,357,10,0.13600170013298096,0.3262912904886696,0.5012457443028091,0.39210364038108825,0.9901284627730901,3,15,4,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,6
15,301.6722855120903,251.23482556090022,13,357,10,0.13600170013298096,0.3262912904886696,0.5012457443028091,0.39210364038108825,0.9901284627730901,3,15,4,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,6
16,424.62257826635005,251.23482556090022,13,357,10,0.13600170013298096,0.3262912904886696,0.5012457443028091,0.39210364038108825,0.9901284627730901,3,15,4,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,6
