iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_param_26,best_param_27,best_selected_features_count
1,825.4477981174642,825.4477981174642,0,276,8,0.36181426502164993,0.5597448446778968,0.9036522589128893,0.9066637800400943,0.21302677941745263,0,2,2,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,7
2,559.4359479926004,559.4359479926004,1,194,10,0.9783958802256404,0.7051453083215323,0.9125506976845582,0.8611757841638613,0.44019463719600027,0,11,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3
3,408.809747197179,408.809747197179,2,354,8,0.7219836296701879,0.7202623723794227,0.43624011173403543,0.7013213242617408,0.4058637975611361,2,6,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,7
4,458.3538981264506,408.809747197179,2,354,8,0.7219836296701879,0.7202623723794227,0.43624011173403543,0.7013213242617408,0.4058637975611361,2,6,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,7
5,362.0601984202383,362.0601984202383,4,109,3,0.16626130229742184,0.9031538688283832,0.676158955209153,0.22899908572418923,0.4727142277445866,0,4,3,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,8
6,932.8315149769587,362.0601984202383,4,109,3,0.16626130229742184,0.9031538688283832,0.676158955209153,0.22899908572418923,0.4727142277445866,0,4,3,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,8
7,522.6967796585457,362.0601984202383,4,109,3,0.16626130229742184,0.9031538688283832,0.676158955209153,0.22899908572418923,0.4727142277445866,0,4,3,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,8
8,615.4102027728366,362.0601984202383,4,109,3,0.16626130229742184,0.9031538688283832,0.676158955209153,0.22899908572418923,0.4727142277445866,0,4,3,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,8
9,316.64496956679824,316.64496956679824,8,290,8,0.45186221416049077,0.1416665826936535,0.4954793793666844,0.4347822809884958,0.637302917980297,0,5,4,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,7
10,268.1565089128989,268.1565089128989,9,368,7,0.519123764299363,0.8713597893771877,0.25526642694956114,0.8455887300196995,0.13786257111248626,3,11,2,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,9
11,240.55466040592495,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
12,240.89149216242862,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
13,247.83098005362768,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
14,258.2030012877501,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
15,262.2964527296626,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
16,339.37902955438017,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
17,305.36645090518533,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
18,245.118705700069,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
19,269.4023634573668,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
20,258.11743360826506,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
21,261.7620731262612,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
22,245.16274773693067,240.55466040592495,10,490,6,0.5852208638361814,0.971397563370938,0.10072963456335177,0.6384295389258444,0.9808344452423967,3,9,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,12
