iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,211.56435542632596,211.56435542632596,0,0.10764923531681114,78,56,0.10724225367683612,0.37876233295468376,962,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,9
2,322.8307704243827,211.56435542632596,0,0.10764923531681114,78,56,0.10724225367683612,0.37876233295468376,962,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,9
3,286.6610832268348,211.56435542632596,0,0.10764923531681114,78,56,0.10724225367683612,0.37876233295468376,962,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,9
4,225.39789710141343,211.56435542632596,0,0.10764923531681114,78,56,0.10724225367683612,0.37876233295468376,962,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,9
5,240.7063740448612,211.56435542632596,0,0.10764923531681114,78,56,0.10724225367683612,0.37876233295468376,962,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,9
6,299.2601250923653,211.56435542632596,0,0.10764923531681114,78,56,0.10724225367683612,0.37876233295468376,962,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,9
7,197.79983337443625,197.79983337443625,6,0.08630289966637734,29,40,0.17170517524539583,0.5456331170445522,527,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
8,218.2479906034036,197.79983337443625,6,0.08630289966637734,29,40,0.17170517524539583,0.5456331170445522,527,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
9,231.99824748077674,197.79983337443625,6,0.08630289966637734,29,40,0.17170517524539583,0.5456331170445522,527,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
10,279.2753931667594,197.79983337443625,6,0.08630289966637734,29,40,0.17170517524539583,0.5456331170445522,527,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
11,223.01317317254234,197.79983337443625,6,0.08630289966637734,29,40,0.17170517524539583,0.5456331170445522,527,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
12,199.24371618577408,197.79983337443625,6,0.08630289966637734,29,40,0.17170517524539583,0.5456331170445522,527,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
13,201.73408523530108,197.79983337443625,6,0.08630289966637734,29,40,0.17170517524539583,0.5456331170445522,527,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
14,188.31861685432625,188.31861685432625,13,0.05785371297997396,99,28,0.12918903814999433,0.6448604411562341,973,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,11
15,187.89888338075235,187.89888338075235,14,0.01512915172072421,70,25,0.41093466887789265,0.6324691621583484,834,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,10
16,182.2067083415809,182.2067083415809,15,0.010643453737914147,70,25,0.4160532999953163,0.7025013536817073,857,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,12
17,185.6799802517885,182.2067083415809,15,0.010643453737914147,70,25,0.4160532999953163,0.7025013536817073,857,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,12
18,232.5440013438986,182.2067083415809,15,0.010643453737914147,70,25,0.4160532999953163,0.7025013536817073,857,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,12
19,185.40963057244093,182.2067083415809,15,0.010643453737914147,70,25,0.4160532999953163,0.7025013536817073,857,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,12
