iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,208.73189346036477,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
2,221.7247609586267,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
3,300.27569830285245,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
4,323.4406157141704,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
5,220.26682400565562,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
6,383.75967877119916,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
7,251.64402954003256,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
8,331.97905696380934,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
9,308.6294459126434,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
10,323.6384167892694,208.73189346036477,0,0.1796434287728403,34,53,0.13752696315272492,0.19689101194237116,636,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,13
11,197.49600464655833,197.49600464655833,10,0.15038446284545143,33,63,0.11008206276439195,0.6906991277903474,998,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,13
12,198.66067174862528,197.49600464655833,10,0.15038446284545143,33,63,0.11008206276439195,0.6906991277903474,998,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,13
13,194.93204050460406,194.93204050460406,12,0.14275572681359963,36,61,0.2524120513858671,0.6825187564522872,994,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,13
14,194.22046872492982,194.22046872492982,13,0.12992135359156143,35,47,0.29055184793467725,0.6830662111651848,966,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,13
15,189.07082301803914,189.07082301803914,14,0.12191779795977029,42,44,0.3034833388538408,0.7239338687945021,101,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,13
16,190.4747276281482,189.07082301803914,14,0.12191779795977029,42,44,0.3034833388538408,0.7239338687945021,101,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,13
17,186.38505418129168,186.38505418129168,16,0.07924599802121365,74,26,0.6491364884244036,0.8370435310371095,147,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,13
18,211.5949872761373,186.38505418129168,16,0.07924599802121365,74,26,0.6491364884244036,0.8370435310371095,147,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,13
19,200.10675849773284,186.38505418129168,16,0.07924599802121365,74,26,0.6491364884244036,0.8370435310371095,147,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,13
