iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,216.56346322991263,216.56346322991263,0,0.19373566941259857,56,63,0.7433343943069282,0.7279559421375438,294,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,9
2,189.54153709201418,189.54153709201418,1,0.042901430084230155,9,39,0.2511749653465635,0.7600421507595129,468,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,11
3,224.68345332924804,189.54153709201418,1,0.042901430084230155,9,39,0.2511749653465635,0.7600421507595129,468,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,11
4,241.90754725847708,189.54153709201418,1,0.042901430084230155,9,39,0.2511749653465635,0.7600421507595129,468,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,11
5,221.6273706526365,189.54153709201418,1,0.042901430084230155,9,39,0.2511749653465635,0.7600421507595129,468,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,11
6,255.88009901951253,189.54153709201418,1,0.042901430084230155,9,39,0.2511749653465635,0.7600421507595129,468,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,11
7,254.1835326039584,189.54153709201418,1,0.042901430084230155,9,39,0.2511749653465635,0.7600421507595129,468,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,11
8,212.0145009272287,189.54153709201418,1,0.042901430084230155,9,39,0.2511749653465635,0.7600421507595129,468,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,11
9,320.79974022167903,189.54153709201418,1,0.042901430084230155,9,39,0.2511749653465635,0.7600421507595129,468,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,11
10,298.8272526181504,189.54153709201418,1,0.042901430084230155,9,39,0.2511749653465635,0.7600421507595129,468,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,11
11,189.38328970878493,189.38328970878493,10,0.022979362312940427,31,20,0.1172113634546118,0.5342484775942379,472,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
12,187.16606034135128,187.16606034135128,11,0.01083731504260202,28,23,0.1204577697990192,0.506235065335332,464,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
13,186.0698256254998,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
14,193.32849038968067,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
15,203.64509240130968,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
16,203.54457645412094,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
17,186.63010469487014,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
18,208.3024127975385,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
19,283.1697014044333,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
20,194.86070815040293,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
21,471.9061907698993,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
22,190.9889360526423,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
23,209.82369572430628,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
24,189.1017136374425,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
25,190.53809906983622,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
26,200.66648115159796,186.0698256254998,12,0.012121541416147602,35,23,0.11694593779744875,0.4806233009889272,453,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
27,186.0029222125516,186.0029222125516,26,0.035676176326887105,50,43,0.16025746032867544,0.5736714881800551,109,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
28,182.72130753375956,182.72130753375956,27,0.050016574853774594,51,48,0.3967076122641864,0.6981163678992349,116,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,10
