iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,212.65883583358445,212.65883583358445,0,0.024498574981051863,79,29,0.7511186600478471,0.9801905607969424,585,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,8
2,259.54468328298907,212.65883583358445,0,0.024498574981051863,79,29,0.7511186600478471,0.9801905607969424,585,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,8
3,233.0586060133218,212.65883583358445,0,0.024498574981051863,79,29,0.7511186600478471,0.9801905607969424,585,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,8
4,297.90048329354266,212.65883583358445,0,0.024498574981051863,79,29,0.7511186600478471,0.9801905607969424,585,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,8
5,287.49649287844994,212.65883583358445,0,0.024498574981051863,79,29,0.7511186600478471,0.9801905607969424,585,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,8
6,189.99399837341912,189.99399837341912,5,0.05257494101980068,58,12,0.8040071361914004,0.8712780635005841,130,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,10
7,250.43515810217465,189.99399837341912,5,0.05257494101980068,58,12,0.8040071361914004,0.8712780635005841,130,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,10
8,277.6224510541733,189.99399837341912,5,0.05257494101980068,58,12,0.8040071361914004,0.8712780635005841,130,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,10
9,190.27789422095404,189.99399837341912,5,0.05257494101980068,58,12,0.8040071361914004,0.8712780635005841,130,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,10
10,205.6108209959664,189.99399837341912,5,0.05257494101980068,58,12,0.8040071361914004,0.8712780635005841,130,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,10
11,252.3540475085867,189.99399837341912,5,0.05257494101980068,58,12,0.8040071361914004,0.8712780635005841,130,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,10
