iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,204.2624779895283,204.2624779895283,0,0.1142745657461917,72,39,0.5903948646972071,0.4812893194050143,681,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,12
2,211.25717227799691,204.2624779895283,0,0.1142745657461917,72,39,0.5903948646972071,0.4812893194050143,681,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,12
3,283.7227240952284,204.2624779895283,0,0.1142745657461917,72,39,0.5903948646972071,0.4812893194050143,681,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,12
4,331.85904070326404,204.2624779895283,0,0.1142745657461917,72,39,0.5903948646972071,0.4812893194050143,681,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,12
5,189.8925390502497,189.8925390502497,4,0.12143745761391579,3,54,0.10422592857329237,0.7100348831166071,343,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,13
6,342.4688563870514,189.8925390502497,4,0.12143745761391579,3,54,0.10422592857329237,0.7100348831166071,343,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,13
7,221.60074717327504,189.8925390502497,4,0.12143745761391579,3,54,0.10422592857329237,0.7100348831166071,343,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,13
8,219.6991245051077,189.8925390502497,4,0.12143745761391579,3,54,0.10422592857329237,0.7100348831166071,343,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,13
9,543.08000539613,189.8925390502497,4,0.12143745761391579,3,54,0.10422592857329237,0.7100348831166071,343,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,13
10,329.6698457375529,189.8925390502497,4,0.12143745761391579,3,54,0.10422592857329237,0.7100348831166071,343,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,13
11,310.7449382910334,189.8925390502497,4,0.12143745761391579,3,54,0.10422592857329237,0.7100348831166071,343,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,13
12,190.11093001701965,189.8925390502497,4,0.12143745761391579,3,54,0.10422592857329237,0.7100348831166071,343,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,13
13,187.9921284513002,187.9921284513002,12,0.11804935433642788,97,21,0.3422371725573084,0.8762953056707461,591,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,13
14,191.86012676750545,187.9921284513002,12,0.11804935433642788,97,21,0.3422371725573084,0.8762953056707461,591,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,13
15,210.0285024627317,187.9921284513002,12,0.11804935433642788,97,21,0.3422371725573084,0.8762953056707461,591,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,13
16,209.73393574624225,187.9921284513002,12,0.11804935433642788,97,21,0.3422371725573084,0.8762953056707461,591,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,13
17,183.60356355544454,183.60356355544454,16,0.14099554695561192,82,28,0.23202483038514982,0.8826306197214797,423,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
18,234.28230953005814,183.60356355544454,16,0.14099554695561192,82,28,0.23202483038514982,0.8826306197214797,423,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
19,186.26483226424807,183.60356355544454,16,0.14099554695561192,82,28,0.23202483038514982,0.8826306197214797,423,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
20,183.72006295282836,183.60356355544454,16,0.14099554695561192,82,28,0.23202483038514982,0.8826306197214797,423,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
21,312.21068433994975,183.60356355544454,16,0.14099554695561192,82,28,0.23202483038514982,0.8826306197214797,423,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
22,177.2208420836483,177.2208420836483,21,0.015250759510987366,78,29,0.7350529893892636,0.7932271554739596,471,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
23,176.8525089218364,176.8525089218364,22,0.013216276531680154,80,28,0.7251506440839173,0.785360769831747,403,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
24,176.32600522643742,176.32600522643742,23,0.020566350211160912,73,26,0.7939713642311895,0.7663402178503805,381,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
25,199.90799172663557,176.32600522643742,23,0.020566350211160912,73,26,0.7939713642311895,0.7663402178503805,381,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
26,178.3001663035948,176.32600522643742,23,0.020566350211160912,73,26,0.7939713642311895,0.7663402178503805,381,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
27,177.68865171765077,176.32600522643742,23,0.020566350211160912,73,26,0.7939713642311895,0.7663402178503805,381,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
28,182.43723812373884,176.32600522643742,23,0.020566350211160912,73,26,0.7939713642311895,0.7663402178503805,381,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
29,183.97886520357508,176.32600522643742,23,0.020566350211160912,73,26,0.7939713642311895,0.7663402178503805,381,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
30,183.23305694791918,176.32600522643742,23,0.020566350211160912,73,26,0.7939713642311895,0.7663402178503805,381,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
31,182.339639659729,176.32600522643742,23,0.020566350211160912,73,26,0.7939713642311895,0.7663402178503805,381,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
32,175.55802632233537,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
33,177.54790772448953,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
34,179.7782336744892,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
35,181.05806288863323,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
36,189.82364277208643,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
37,190.7922852163676,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
38,230.0915400222528,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
39,189.0161476039746,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
40,278.0313432057174,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
41,186.41225674468424,175.55802632233537,31,0.02066791224130611,52,35,0.8694903124993478,0.7417345050595289,262,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11
