iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,218.55903850637634,218.55903850637634,0,0.15776345800902583,25,53,0.9691742782386997,0.975341002514404,508,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8
2,356.2665246987957,218.55903850637634,0,0.15776345800902583,25,53,0.9691742782386997,0.975341002514404,508,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8
3,322.14568823899657,218.55903850637634,0,0.15776345800902583,25,53,0.9691742782386997,0.975341002514404,508,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8
4,263.6756694969521,218.55903850637634,0,0.15776345800902583,25,53,0.9691742782386997,0.975341002514404,508,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8
5,759.2399688631074,218.55903850637634,0,0.15776345800902583,25,53,0.9691742782386997,0.975341002514404,508,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8
6,442.51667814529793,218.55903850637634,0,0.15776345800902583,25,53,0.9691742782386997,0.975341002514404,508,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8
7,223.5893867429615,218.55903850637634,0,0.15776345800902583,25,53,0.9691742782386997,0.975341002514404,508,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8
8,352.84672837508424,218.55903850637634,0,0.15776345800902583,25,53,0.9691742782386997,0.975341002514404,508,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8
9,271.0176551425309,218.55903850637634,0,0.15776345800902583,25,53,0.9691742782386997,0.975341002514404,508,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8
10,195.49107789298137,195.49107789298137,9,0.1265547866271434,49,12,0.3267866396886181,0.7573755993038901,963,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,8
11,195.98606332616197,195.49107789298137,9,0.1265547866271434,49,12,0.3267866396886181,0.7573755993038901,963,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,8
12,193.7146295231792,193.7146295231792,11,0.11686585064394713,58,5,0.12964748449507368,0.5703481547378186,522,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,11
13,186.17289927466598,186.17289927466598,12,0.08982752625519136,70,24,0.10935220773849869,0.5572144521792529,386,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,11
14,185.71171125113125,185.71171125113125,13,0.06146749271307447,73,23,0.12275930649112332,0.4980461740061001,402,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,11
15,210.11987480192332,185.71171125113125,13,0.06146749271307447,73,23,0.12275930649112332,0.4980461740061001,402,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,11
16,184.6484846890291,184.6484846890291,15,0.04809112286320803,98,25,0.42692723742173116,0.45606064283024383,385,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,11
17,186.48696808792684,184.6484846890291,15,0.04809112286320803,98,25,0.42692723742173116,0.45606064283024383,385,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,11
18,217.71770695174368,184.6484846890291,15,0.04809112286320803,98,25,0.42692723742173116,0.45606064283024383,385,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,11
19,183.23760943944922,183.23760943944922,18,0.043773395672110776,83,20,0.29755870317479505,0.6619095237514888,367,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,11
20,181.25907069368643,181.25907069368643,19,0.03238825733924179,100,12,0.36827894632599334,0.6686222074919461,294,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,11
