iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
13,197.29897422691315,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
14,191.88746299218658,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
15,201.89985241690854,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
16,194.94950974574525,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
17,196.6608541038552,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
18,203.19398874339907,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
19,201.7015787025924,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
20,193.85977540393313,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
21,266.3432777627408,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
22,190.46086362300275,190.46086362300275,21,0.1681206211261315,83,45,0.7076452411295012,0.9064580319831242,846,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,10
23,198.0991073319796,190.46086362300275,21,0.1681206211261315,83,45,0.7076452411295012,0.9064580319831242,846,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,10
24,191.51816594552258,190.46086362300275,21,0.1681206211261315,83,45,0.7076452411295012,0.9064580319831242,846,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,10
25,190.61085598092382,190.46086362300275,21,0.1681206211261315,83,45,0.7076452411295012,0.9064580319831242,846,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,10
26,194.92718983416262,190.46086362300275,21,0.1681206211261315,83,45,0.7076452411295012,0.9064580319831242,846,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,10
27,193.9193477809086,190.46086362300275,21,0.1681206211261315,83,45,0.7076452411295012,0.9064580319831242,846,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,10
28,193.68532351667696,190.46086362300275,21,0.1681206211261315,83,45,0.7076452411295012,0.9064580319831242,846,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,10
29,187.46767500090843,187.46767500090843,28,0.07867622294519605,58,41,0.7527024222250656,0.8589431208010666,550,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
30,242.66776627160783,187.46767500090843,28,0.07867622294519605,58,41,0.7527024222250656,0.8589431208010666,550,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
31,185.01106399162907,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
32,186.24483582225128,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
33,185.6387959272348,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
34,185.03595621461224,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
35,198.1286620479644,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
36,215.5249342790429,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
37,203.5929647488604,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
38,226.0111006184325,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
39,252.3297401457336,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
40,274.96038754697645,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
41,200.66604580927665,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
42,187.18529146982266,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
43,185.51621470765178,185.01106399162907,30,0.05173209933459409,90,51,0.7062240012619108,0.701126053201604,432,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
44,182.65021403603288,182.65021403603288,43,0.04241635931103541,93,53,0.7903016923680667,0.7298862488342714,294,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
45,183.62206836298157,182.65021403603288,43,0.04241635931103541,93,53,0.7903016923680667,0.7298862488342714,294,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,11
46,180.692465985984,180.692465985984,45,0.023873420704810536,71,59,0.7996103830660247,0.7774933155792485,186,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,10
47,178.59994590191442,178.59994590191442,46,0.02816502589431886,98,61,0.8743767201299654,0.608919298339556,181,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
48,179.47579763120035,178.59994590191442,46,0.02816502589431886,98,61,0.8743767201299654,0.608919298339556,181,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
49,194.995627598751,178.59994590191442,46,0.02816502589431886,98,61,0.8743767201299654,0.608919298339556,181,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
