iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,345.47872948515334,345.47872948515334,0,0.1759515865304451,97,56,0.5777701224000391,0.3094554951795616,110,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,8
2,295.6039446006084,295.6039446006084,1,0.02347914050253776,24,26,0.9065305043925717,0.41091545079808034,987,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,9
3,280.9737517192776,280.9737517192776,2,0.01739333655204115,46,13,0.6643500821697236,0.29378601952547156,236,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,10
4,201.17983628022833,201.17983628022833,3,0.06821521276145437,42,53,0.6284173161117675,0.7358639890649107,560,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,12
5,192.59748160150488,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
6,234.21249736421038,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
7,308.08478288682915,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
8,238.27573111835343,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
9,280.6456911693898,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
10,202.47158731481096,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
11,225.9151018917431,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
12,200.69710391919295,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
13,196.5163790552146,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
14,258.96230479819974,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
15,211.99959958367796,192.59748160150488,4,0.036293094276057154,64,2,0.8097249380481004,0.5518696533719396,998,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10
16,189.4355482537465,189.4355482537465,15,0.040528877590415194,70,42,0.8273946777501618,0.5632151324575263,921,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,13
17,186.09622323013954,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
18,216.43597360300936,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
19,201.7183411634033,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
20,212.9492554098023,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
21,217.2404517082199,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
22,191.34108310361762,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
23,189.84584652676838,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
24,210.1221200625638,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
25,189.39935263330017,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
26,187.69146325116307,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
27,191.1560796856865,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
28,188.86441356087653,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
29,190.69693907950617,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
30,232.20003571731564,186.09622323013954,16,0.011856987232123056,70,47,0.975780520923884,0.5631526614778467,996,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,10
