iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,267.34781626951485,267.34781626951485,0,0.03929094005213775,75,18,0.580365454042268,0.11311746623687771,927,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,9
2,234.95086172887878,234.95086172887878,1,0.06888054105310555,68,31,0.8345514682414241,0.3606281051774982,760,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,8
3,239.71255675569984,234.95086172887878,1,0.06888054105310555,68,31,0.8345514682414241,0.3606281051774982,760,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,8
4,272.30167026451574,234.95086172887878,1,0.06888054105310555,68,31,0.8345514682414241,0.3606281051774982,760,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,8
5,264.6834856678556,234.95086172887878,1,0.06888054105310555,68,31,0.8345514682414241,0.3606281051774982,760,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,8
6,705.9349732473817,234.95086172887878,1,0.06888054105310555,68,31,0.8345514682414241,0.3606281051774982,760,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,8
7,213.33792033678603,213.33792033678603,6,0.07019350113091856,25,32,0.5895490686116622,0.4649089483765092,768,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,11
8,190.11287359902144,190.11287359902144,7,0.056854280843387284,43,41,0.18592322811838413,0.45127828848081886,390,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,13
9,209.77785958844814,190.11287359902144,7,0.056854280843387284,43,41,0.18592322811838413,0.45127828848081886,390,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,13
10,224.0227376019326,190.11287359902144,7,0.056854280843387284,43,41,0.18592322811838413,0.45127828848081886,390,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,13
11,248.1827062162496,190.11287359902144,7,0.056854280843387284,43,41,0.18592322811838413,0.45127828848081886,390,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,13
12,205.99169119829747,190.11287359902144,7,0.056854280843387284,43,41,0.18592322811838413,0.45127828848081886,390,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,13
13,204.2583637936587,190.11287359902144,7,0.056854280843387284,43,41,0.18592322811838413,0.45127828848081886,390,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,13
