iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,222.0546014497815,222.0546014497815,0,0.052178702507050506,88,15,0.9267498171441294,0.5395700699153463,651,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,7
2,221.82929108321525,221.82929108321525,1,0.07223715006085947,16,12,0.9675374761611477,0.9642040437571244,269,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,10
3,462.2178609214866,221.82929108321525,1,0.07223715006085947,16,12,0.9675374761611477,0.9642040437571244,269,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,10
4,209.3746224875045,209.3746224875045,3,0.0794407759033113,26,52,0.41688544218973167,0.6749899138543288,544,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,9
5,240.97826209662847,209.3746224875045,3,0.0794407759033113,26,52,0.41688544218973167,0.6749899138543288,544,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,9
6,358.872267847964,209.3746224875045,3,0.0794407759033113,26,52,0.41688544218973167,0.6749899138543288,544,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,9
7,186.26467811187155,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
8,335.387460908444,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
9,285.3048295958504,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
10,253.99174652489972,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
11,203.08796444361258,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
12,208.86621517517293,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
13,205.7108175192675,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
14,224.6616286707624,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
15,231.43072885805773,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
16,198.67907513260755,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
17,209.20625695254162,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
18,190.03378152783193,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
19,187.88136587481927,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
20,192.8502924718322,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
21,197.11643463017282,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
22,188.48955890810538,186.26467811187155,6,0.021366110983380572,97,37,0.37226630125035487,0.8431352438485156,694,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,9
