iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,383.6222094013337,383.6222094013337,0,0.011971089238282991,51,33,0.22044657606334894,0.2278999769090847,296,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,10
2,214.07176816596854,214.07176816596854,1,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,10
3,592.571592565415,214.07176816596854,1,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,10
4,404.8132162987724,214.07176816596854,1,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,10
5,194.33234629552663,194.33234629552663,4,0.10502050488393425,10,51,0.7822324224304942,0.3360458987226567,190,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,12
6,228.77064898158008,194.33234629552663,4,0.10502050488393425,10,51,0.7822324224304942,0.3360458987226567,190,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,12
7,247.13119324346354,194.33234629552663,4,0.10502050488393425,10,51,0.7822324224304942,0.3360458987226567,190,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,12
8,268.9140172160772,194.33234629552663,4,0.10502050488393425,10,51,0.7822324224304942,0.3360458987226567,190,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,12
9,237.8694274435616,194.33234629552663,4,0.10502050488393425,10,51,0.7822324224304942,0.3360458987226567,190,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,12
10,226.55831693117526,194.33234629552663,4,0.10502050488393425,10,51,0.7822324224304942,0.3360458987226567,190,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,12
11,200.55089617384954,194.33234629552663,4,0.10502050488393425,10,51,0.7822324224304942,0.3360458987226567,190,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,12
12,193.3587567932477,193.3587567932477,11,0.07888601185836247,22,64,0.9943112714517324,0.9915034702775888,363,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,13
13,199.4126797413154,193.3587567932477,11,0.07888601185836247,22,64,0.9943112714517324,0.9915034702775888,363,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,13
14,253.62676703211295,193.3587567932477,11,0.07888601185836247,22,64,0.9943112714517324,0.9915034702775888,363,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,13
15,202.20875119025743,193.3587567932477,11,0.07888601185836247,22,64,0.9943112714517324,0.9915034702775888,363,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,13
16,189.9514381665834,189.9514381665834,15,0.13283933085472863,97,2,0.8322877688152585,0.8824655488878771,296,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
17,202.59556506935462,189.9514381665834,15,0.13283933085472863,97,2,0.8322877688152585,0.8824655488878771,296,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
18,225.595641618675,189.9514381665834,15,0.13283933085472863,97,2,0.8322877688152585,0.8824655488878771,296,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
19,180.66812914060586,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
20,182.89761108457515,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
21,211.57895246776926,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
22,182.912079974443,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
23,183.05296379145233,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
24,184.58903131072873,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
25,182.52277511859702,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
26,182.507042176352,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
27,183.11822464321827,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
28,185.29114338279723,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
29,183.57650598094688,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
30,228.20244273262807,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
31,182.5607261999678,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
32,183.8460533576037,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
33,180.6835650255083,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
34,181.452262421704,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
35,190.72245886313812,180.66812914060586,18,0.12885641469441023,57,27,0.5661454218381075,0.8315620192321554,276,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,14
36,179.89479734683346,179.89479734683346,35,0.036939669979237276,80,42,0.42019207111480583,0.7415402837961195,744,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,15
37,179.08163157825481,179.08163157825481,36,0.03590778041429948,86,43,0.46767692403631517,0.7386771992545313,781,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,16
38,261.1482197594418,179.08163157825481,36,0.03590778041429948,86,43,0.46767692403631517,0.7386771992545313,781,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,16
39,178.0704464343675,178.0704464343675,38,0.037349154026782946,79,40,0.4826798081373381,0.7527013873488402,987,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
40,199.43023072476697,178.0704464343675,38,0.037349154026782946,79,40,0.4826798081373381,0.7527013873488402,987,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
41,250.3242585036535,178.0704464343675,38,0.037349154026782946,79,40,0.4826798081373381,0.7527013873488402,987,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
42,176.4351555484649,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
43,179.4118823903208,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
44,180.20226215250202,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
45,177.0041423351499,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
46,184.0332242323315,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
47,178.05461459473213,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
48,182.42826350522728,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
49,181.9509078158884,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
50,178.38650447024025,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
51,222.5549757975905,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
52,179.27231778499444,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
53,182.54691806693174,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
54,178.46098858406208,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
55,178.30714357958777,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
56,178.73566894242012,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
57,215.48422686067605,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
58,185.03878596019837,176.4351555484649,41,0.04240613788017042,74,42,0.49162314480703484,0.7381091656979027,773,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,13
