iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5
1,278.75451418893607,278.75451418893607,0,0.03929094005213775,75,18,0.580365454042268,0.11311746623687771,927
2,218.08348148205198,218.08348148205198,1,0.18113582228223235,5,62,0.22348838922046882,0.35544551766215127,646
3,205.78440988905442,205.78440988905442,2,0.18940277585007803,86,2,0.5691034244982636,0.5968338699381099,537
4,235.87539459705647,205.78440988905442,2,0.18940277585007803,86,2,0.5691034244982636,0.5968338699381099,537
5,200.6053581301456,200.6053581301456,4,0.06888054105310555,68,31,0.8345514682414241,0.3606281051774982,760
6,201.63314493857985,200.6053581301456,4,0.06888054105310555,68,31,0.8345514682414241,0.3606281051774982,760
7,204.72580021189117,200.6053581301456,4,0.06888054105310555,68,31,0.8345514682414241,0.3606281051774982,760
8,195.36451855327707,195.36451855327707,7,0.04373719342819897,97,28,0.4816472018958988,0.5168339827546113,436
9,191.59807748508047,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
10,194.5245519975129,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
11,197.53073989091703,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
12,194.04524545894705,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
13,192.12133618360565,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
14,193.65677209263035,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
15,197.09967777712058,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
16,196.2490966081788,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
17,249.39952395540809,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
18,201.56629575843309,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
19,194.84816477708935,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
20,207.4164549946167,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
21,193.89787716047752,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
22,195.25817866116267,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
23,202.1346041779059,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
24,194.8638759126406,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
25,209.5295213593185,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
26,194.42293820477474,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
27,200.52674996530408,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
28,198.74888054350222,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
29,202.86673243634937,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
30,199.9905422915005,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
31,191.9921492423924,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
32,208.6199748284376,191.59807748508047,8,0.09844653903277709,5,7,0.7592686283277551,0.6725799944495807,125
33,190.39988959509847,190.39988959509847,32,0.028255594964202005,7,10,0.8027479058623381,0.8343185312674007,182
34,189.32446027300682,189.32446027300682,33,0.029712420022066116,7,8,0.7945877075803525,0.8408405806534658,178
35,192.7670199058534,189.32446027300682,33,0.029712420022066116,7,8,0.7945877075803525,0.8408405806534658,178
36,290.3447729296391,189.32446027300682,33,0.029712420022066116,7,8,0.7945877075803525,0.8408405806534658,178
37,198.4792697019575,189.32446027300682,33,0.029712420022066116,7,8,0.7945877075803525,0.8408405806534658,178
38,191.8127096799151,189.32446027300682,33,0.029712420022066116,7,8,0.7945877075803525,0.8408405806534658,178
39,197.03740279909206,189.32446027300682,33,0.029712420022066116,7,8,0.7945877075803525,0.8408405806534658,178
40,201.11124412291915,189.32446027300682,33,0.029712420022066116,7,8,0.7945877075803525,0.8408405806534658,178
41,198.4157882349923,189.32446027300682,33,0.029712420022066116,7,8,0.7945877075803525,0.8408405806534658,178
42,195.69393629292688,189.32446027300682,33,0.029712420022066116,7,8,0.7945877075803525,0.8408405806534658,178
43,188.89568042325476,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
44,193.96484529207711,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
45,192.89405924275843,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
46,195.41398812233467,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
47,193.7357676669856,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
48,198.83535527372015,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
49,196.92938348888111,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
50,206.19081799573246,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
51,191.8266063183012,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
52,192.27742935154754,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
53,192.90106038936264,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
54,192.28365947767674,188.89568042325476,42,0.010355198842588053,7,5,0.7801085855771073,0.8981330922071156,770
