iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5
1,260.8611137953839,260.8611137953839,0,0.011971089238282991,51,33,0.22044657606334894,0.2278999769090847,296
2,231.40288425440377,231.40288425440377,1,0.08951655429698596,26,7,0.41094877604536006,0.2500987118790893,891
3,202.1287474144141,202.1287474144141,2,0.19068316600907614,5,46,0.6154838340124683,0.9082064064026346,700
4,199.9963518835788,199.9963518835788,3,0.1140891787788315,71,26,0.7249948099880124,0.8423834180504933,519
5,198.80173587104636,198.80173587104636,4,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951
6,256.0098342851464,198.80173587104636,4,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951
7,205.5380332375087,198.80173587104636,4,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951
8,199.2107903238339,198.80173587104636,4,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951
9,199.0219394588945,198.80173587104636,4,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951
10,231.13355028559633,198.80173587104636,4,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951
11,207.7731653222633,198.80173587104636,4,0.18869963781006466,81,63,0.2526726318253904,0.5689762403138175,951
12,195.15063603729482,195.15063603729482,11,0.16717781434087114,59,42,0.7872317210547117,0.5339248092367757,108
13,201.47944947644083,195.15063603729482,11,0.16717781434087114,59,42,0.7872317210547117,0.5339248092367757,108
14,195.61978163422566,195.15063603729482,11,0.16717781434087114,59,42,0.7872317210547117,0.5339248092367757,108
15,194.57156569162606,194.57156569162606,14,0.06753312628778703,39,38,0.7804219605572124,0.7379438370294125,257
16,192.51651470100998,192.51651470100998,15,0.057904039833268306,38,33,0.8116761466114426,0.784686336286272,232
17,195.14462740141954,192.51651470100998,15,0.057904039833268306,38,33,0.8116761466114426,0.784686336286272,232
18,196.89100237774966,192.51651470100998,15,0.057904039833268306,38,33,0.8116761466114426,0.784686336286272,232
19,193.67999702004198,192.51651470100998,15,0.057904039833268306,38,33,0.8116761466114426,0.784686336286272,232
20,197.2094165012467,192.51651470100998,15,0.057904039833268306,38,33,0.8116761466114426,0.784686336286272,232
21,194.20038214043876,192.51651470100998,15,0.057904039833268306,38,33,0.8116761466114426,0.784686336286272,232
22,195.8672278697808,192.51651470100998,15,0.057904039833268306,38,33,0.8116761466114426,0.784686336286272,232
23,276.7484091772947,192.51651470100998,15,0.057904039833268306,38,33,0.8116761466114426,0.784686336286272,232
24,188.84216807353368,188.84216807353368,23,0.04116261976158629,31,27,0.6923279169491723,0.7739487851473615,204
25,191.17765735305687,188.84216807353368,23,0.04116261976158629,31,27,0.6923279169491723,0.7739487851473615,204
26,195.0387554404624,188.84216807353368,23,0.04116261976158629,31,27,0.6923279169491723,0.7739487851473615,204
27,193.01141303694538,188.84216807353368,23,0.04116261976158629,31,27,0.6923279169491723,0.7739487851473615,204
28,197.37420676929563,188.84216807353368,23,0.04116261976158629,31,27,0.6923279169491723,0.7739487851473615,204
29,200.29518947144615,188.84216807353368,23,0.04116261976158629,31,27,0.6923279169491723,0.7739487851473615,204
30,183.98187056351787,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
31,184.62862381395567,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
32,191.87348417596232,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
33,192.40062879059278,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
34,240.14221391972487,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
35,195.27017148499283,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
36,192.0548055040732,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
37,234.34166599427462,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
38,197.9034153677069,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
39,197.6436093482058,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
40,194.45168042620256,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
41,195.24526970287516,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
42,195.4887451370971,183.98187056351787,29,0.015607790148558412,54,36,0.7578616776757795,0.7550586526216574,281
43,183.20384366058622,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
44,185.6736371911705,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
45,186.07415826109786,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
46,190.10988300267496,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
47,190.6043660431614,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
48,190.36389109306728,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
49,185.29453433649869,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
50,190.1374707583458,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
51,199.94736486406754,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
52,185.07764844989234,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
53,183.257113554075,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
54,185.41414986996668,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
55,193.7294939846817,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
56,191.06919236748945,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
57,196.20902298838698,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
58,197.28259418974568,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
59,191.53195583252096,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
60,185.4538864833767,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
61,200.02789368533072,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
62,186.17068412416103,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
63,185.7618588089034,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
64,186.77599743506758,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
65,196.6452375581551,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
66,189.93775755606006,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
67,200.26475315466956,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
68,192.34208592283338,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
69,198.18490333331786,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
70,189.59038641997236,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
71,220.8208632473639,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
72,186.0136493834188,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
73,184.1997688355296,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
74,183.95979557458503,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
75,199.89662908394217,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
76,190.9067861026731,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
77,196.24704276030502,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
78,183.98609630322116,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
79,186.6296140851159,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
80,192.53535013588908,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
81,193.47781305598724,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
82,185.748895705941,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
83,188.0485000047354,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
84,184.84483050216411,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
85,188.06386396164967,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
86,200.37031027296888,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
87,193.5563170886237,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
88,193.9322872976977,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
89,190.78224144600188,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
90,187.56786843331545,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
91,186.90503972199699,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
92,186.50884025567365,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
93,189.85950882346793,183.20384366058622,42,0.018498242049115626,63,43,0.44995269880196165,0.7454860437727433,308
94,183.14993128053976,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
95,333.3003886884442,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
96,185.7997363854176,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
97,195.66850146938597,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
98,189.806830186942,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
99,192.70209820456552,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
100,187.01829342815395,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
101,193.66670085791722,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
102,185.8788974478611,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
103,184.71224551445934,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
104,203.01037650783363,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
105,197.03277195167755,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
106,185.99008810181297,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
107,186.50635649058697,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
108,184.67471341280822,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
109,192.84794500835707,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
110,185.1162897647724,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
111,185.72032692784225,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
112,184.10565186845318,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
113,183.7875441248136,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
114,203.02647440421768,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
115,184.4051665140064,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
116,184.22363030742565,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
117,190.97685887111624,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
118,189.44967289174693,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
119,187.9292042871067,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
120,194.1148401420261,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
121,187.92467686994618,183.14993128053976,93,0.01877749314793637,62,41,0.7695879611924314,0.7737823166595521,301
