iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5
1,195.70767050296917,195.70767050296917,0,0.052178702507050506,88,15,0.9267498171441294,0.5395700699153463,651
2,294.3928675747922,195.70767050296917,0,0.052178702507050506,88,15,0.9267498171441294,0.5395700699153463,651
3,200.28957157283014,195.70767050296917,0,0.052178702507050506,88,15,0.9267498171441294,0.5395700699153463,651
4,250.51166340815743,195.70767050296917,0,0.052178702507050506,88,15,0.9267498171441294,0.5395700699153463,651
5,195.3662176232109,195.3662176232109,4,0.07223715006085947,16,12,0.9675374761611477,0.9642040437571244,269
6,277.95770235210733,195.3662176232109,4,0.07223715006085947,16,12,0.9675374761611477,0.9642040437571244,269
7,229.8020035070799,195.3662176232109,4,0.07223715006085947,16,12,0.9675374761611477,0.9642040437571244,269
8,203.91534838930988,195.3662176232109,4,0.07223715006085947,16,12,0.9675374761611477,0.9642040437571244,269
9,280.62321576579683,195.3662176232109,4,0.07223715006085947,16,12,0.9675374761611477,0.9642040437571244,269
10,193.63624668012093,193.63624668012093,9,0.031176224351824433,26,62,0.6685894474639709,0.8349941823538257,610
11,193.60115568359154,193.60115568359154,10,0.047300978477365696,3,64,0.7017815822914153,0.7806765041030269,986
12,194.60668772966892,193.60115568359154,10,0.047300978477365696,3,64,0.7017815822914153,0.7806765041030269,986
13,197.7717718522968,193.60115568359154,10,0.047300978477365696,3,64,0.7017815822914153,0.7806765041030269,986
14,197.59895056395698,193.60115568359154,10,0.047300978477365696,3,64,0.7017815822914153,0.7806765041030269,986
15,200.84502427257686,193.60115568359154,10,0.047300978477365696,3,64,0.7017815822914153,0.7806765041030269,986
16,196.29427898672472,193.60115568359154,10,0.047300978477365696,3,64,0.7017815822914153,0.7806765041030269,986
17,196.76836346234006,193.60115568359154,10,0.047300978477365696,3,64,0.7017815822914153,0.7806765041030269,986
18,199.3003475219422,193.60115568359154,10,0.047300978477365696,3,64,0.7017815822914153,0.7806765041030269,986
19,190.34429783765884,190.34429783765884,18,0.026769626567487728,81,27,0.5987234248137147,0.8850767336032062,470
20,195.55995565440716,190.34429783765884,18,0.026769626567487728,81,27,0.5987234248137147,0.8850767336032062,470
21,200.5366847312681,190.34429783765884,18,0.026769626567487728,81,27,0.5987234248137147,0.8850767336032062,470
22,194.22166479118533,190.34429783765884,18,0.026769626567487728,81,27,0.5987234248137147,0.8850767336032062,470
23,190.7578828987783,190.34429783765884,18,0.026769626567487728,81,27,0.5987234248137147,0.8850767336032062,470
24,188.65584760433248,188.65584760433248,23,0.021215634473820986,41,48,0.8615706444620888,0.9067517569304614,417
25,187.8159663494467,187.8159663494467,24,0.02075953297176976,40,47,0.8842755037650983,0.9203087087545361,382
26,192.18614515661238,187.8159663494467,24,0.02075953297176976,40,47,0.8842755037650983,0.9203087087545361,382
27,198.1873784853705,187.8159663494467,24,0.02075953297176976,40,47,0.8842755037650983,0.9203087087545361,382
28,184.99214485111204,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
29,194.99231520521124,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
30,187.66411658732483,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
31,187.77905646567535,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
32,189.03320781973625,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
33,190.85048139701826,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
34,191.69425641839183,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
35,201.16632977369255,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
36,199.238409460773,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
37,234.53385278907191,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
38,193.2814393594968,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
39,197.52603187185758,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
40,220.5001500927141,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
41,242.17128554028287,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
42,185.3148831515407,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
43,185.85127108330963,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
44,202.6566539648804,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
45,194.07018091345267,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
46,187.03973962845632,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
47,193.05840436929213,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
48,193.0434427653362,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
49,193.06298553150032,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
50,197.9659358551846,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
51,192.07523745889236,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
52,187.66330265146178,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
53,223.6054310141539,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
54,189.67013016791785,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
55,188.52492600363817,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
56,188.4081191447594,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
57,191.37070020381194,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
58,196.82492761329772,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
59,192.34295500902053,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
60,197.25312296379713,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
61,195.2073286677204,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
62,188.46930111213823,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
63,366.1473643392012,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
64,188.2543609748336,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
65,190.87525360750533,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
66,187.16416159172445,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
67,187.13977831427172,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
68,188.02037831750042,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
69,191.14321237127774,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
70,189.9213820989636,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
71,202.80170020609827,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
72,193.96869163563997,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
73,196.20741777214508,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
74,186.9958572355832,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
75,191.02680268920727,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
76,186.00201993770963,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
77,185.91789936558916,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
78,187.30075484590847,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
79,185.62150549807288,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
80,191.8933862081207,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
81,196.49048265915354,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
82,186.78023562516378,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
83,194.04886810545003,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
84,194.54370729382188,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
85,191.86940804447585,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
86,195.25257628571973,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
87,201.8088595481908,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
88,200.4808386396878,184.99214485111204,27,0.0206584958965602,47,36,0.7979389609344395,0.7060402154621741,297
89,184.5448018924192,184.5448018924192,88,0.021716419964863544,41,21,0.9164499494779528,0.9209253480725749,241
90,188.58262724929307,184.5448018924192,88,0.021716419964863544,41,21,0.9164499494779528,0.9209253480725749,241
91,191.71011710440908,184.5448018924192,88,0.021716419964863544,41,21,0.9164499494779528,0.9209253480725749,241
92,189.97285812555265,184.5448018924192,88,0.021716419964863544,41,21,0.9164499494779528,0.9209253480725749,241
93,185.73000123396727,184.5448018924192,88,0.021716419964863544,41,21,0.9164499494779528,0.9209253480725749,241
94,184.78459120992977,184.5448018924192,88,0.021716419964863544,41,21,0.9164499494779528,0.9209253480725749,241
95,186.1549359300763,184.5448018924192,88,0.021716419964863544,41,21,0.9164499494779528,0.9209253480725749,241
96,187.76465832398168,184.5448018924192,88,0.021716419964863544,41,21,0.9164499494779528,0.9209253480725749,241
97,185.61047472332416,184.5448018924192,88,0.021716419964863544,41,21,0.9164499494779528,0.9209253480725749,241
98,184.50581035868237,184.50581035868237,97,0.019530622080902192,54,13,0.8318810098159324,0.7959832127833373,317
99,183.73031008474504,183.73031008474504,98,0.012269135608859607,55,13,0.8463757567592635,0.7608716549771908,389
100,185.0961507031286,183.73031008474504,98,0.012269135608859607,55,13,0.8463757567592635,0.7608716549771908,389
101,183.97196274347849,183.73031008474504,98,0.012269135608859607,55,13,0.8463757567592635,0.7608716549771908,389
102,184.70083715911275,183.73031008474504,98,0.012269135608859607,55,13,0.8463757567592635,0.7608716549771908,389
103,183.38916191521278,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
104,183.85057835615106,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
105,184.53314230083433,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
106,184.4016321655774,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
107,184.95015248267742,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
108,186.33702298582847,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
109,184.19169422489873,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
110,183.40621243184378,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
111,199.32551827643243,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
112,185.33995679542073,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
113,185.99519249677553,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
114,192.26750213820503,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
115,207.03974211843615,183.38916191521278,102,0.012477227168155313,54,13,0.5627413118378176,0.7696480126694565,406
