iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5
1,194.65880255890133,194.65880255890133,0,0.04425124088658615,3,31,0.7524405362729331,0.47818324412895474,537
2,217.53933463302477,194.65880255890133,0,0.04425124088658615,3,31,0.7524405362729331,0.47818324412895474,537
3,280.54013075558476,194.65880255890133,0,0.04425124088658615,3,31,0.7524405362729331,0.47818324412895474,537
4,200.98158408416103,194.65880255890133,0,0.04425124088658615,3,31,0.7524405362729331,0.47818324412895474,537
5,248.29923830117596,194.65880255890133,0,0.04425124088658615,3,31,0.7524405362729331,0.47818324412895474,537
6,200.74343988945063,194.65880255890133,0,0.04425124088658615,3,31,0.7524405362729331,0.47818324412895474,537
7,285.03002452838115,194.65880255890133,0,0.04425124088658615,3,31,0.7524405362729331,0.47818324412895474,537
8,192.63741462388342,192.63741462388342,7,0.023304332498655465,33,6,0.3612373004217808,0.8110910110904105,915
9,258.1100081698766,192.63741462388342,7,0.023304332498655465,33,6,0.3612373004217808,0.8110910110904105,915
10,212.1987736370307,192.63741462388342,7,0.023304332498655465,33,6,0.3612373004217808,0.8110910110904105,915
11,201.9237125024005,192.63741462388342,7,0.023304332498655465,33,6,0.3612373004217808,0.8110910110904105,915
12,195.11747497302122,192.63741462388342,7,0.023304332498655465,33,6,0.3612373004217808,0.8110910110904105,915
13,204.84507685659733,192.63741462388342,7,0.023304332498655465,33,6,0.3612373004217808,0.8110910110904105,915
14,191.9905644177988,191.9905644177988,13,0.019233825867333264,61,22,0.9723180917543638,0.5075427078416472,645
15,189.74710348751609,189.74710348751609,14,0.011086138186070238,65,20,0.9637045497797163,0.5983885523354845,853
16,199.47746155832814,189.74710348751609,14,0.011086138186070238,65,20,0.9637045497797163,0.5983885523354845,853
17,199.94125203856976,189.74710348751609,14,0.011086138186070238,65,20,0.9637045497797163,0.5983885523354845,853
18,202.20702203781977,189.74710348751609,14,0.011086138186070238,65,20,0.9637045497797163,0.5983885523354845,853
19,228.11511409972587,189.74710348751609,14,0.011086138186070238,65,20,0.9637045497797163,0.5983885523354845,853
20,194.22772667037145,189.74710348751609,14,0.011086138186070238,65,20,0.9637045497797163,0.5983885523354845,853
21,239.6195778468491,189.74710348751609,14,0.011086138186070238,65,20,0.9637045497797163,0.5983885523354845,853
22,192.40523834699496,189.74710348751609,14,0.011086138186070238,65,20,0.9637045497797163,0.5983885523354845,853
23,187.3659026785167,187.3659026785167,22,0.011458486033972048,61,11,0.48079643693131824,0.8225668745992344,798
24,196.00446793764854,187.3659026785167,22,0.011458486033972048,61,11,0.48079643693131824,0.8225668745992344,798
25,187.49668772494402,187.3659026785167,22,0.011458486033972048,61,11,0.48079643693131824,0.8225668745992344,798
26,186.08194678785557,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
27,201.57024939147985,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
28,196.5437318663349,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
29,191.42954732784546,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
30,200.545756012054,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
31,196.67290873387537,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
32,189.0181375370143,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
33,194.82783147130235,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
34,189.0897430226454,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
35,193.24521540880713,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
36,186.85558092968105,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
37,187.634955303794,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
38,193.22250522724664,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
39,192.2592116030582,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
40,197.9998057158775,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
41,189.17480508027268,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
42,191.73560844992377,186.08194678785557,25,0.010482223264592399,44,36,0.2721800568189002,0.886227945073343,610
43,184.2396442707452,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
44,227.70895171655434,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
45,185.39804410397866,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
46,193.35277128007112,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
47,190.18907241534666,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
48,199.37974127476096,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
49,205.6478699354564,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
50,191.8814530371817,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
51,198.64834439814243,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
52,196.2121462705396,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
53,192.4447333712221,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
54,195.000959222741,184.2396442707452,42,0.02309278421018631,50,51,0.708406149339561,0.6503245155231777,202
